LATITUDE,LONGITUDE,ACQ_TIME,date,war_fire
46.106827,32.364082,1030,2022-07-30,1
46.107555,32.447914,2242,2022-07-30,1
46.108631,32.351814,2242,2022-07-30,1
46.109539,32.442486,1030,2022-07-30,1
46.110371,32.447479,1030,2022-07-30,1
46.111717,32.351784,1030,2022-07-30,1
46.112465,32.422531,1054,2022-07-26,1
46.112556,32.356789,1030,2022-07-30,1
46.112743,32.371361,1048,2022-07-29,1
46.113396,32.361794,1030,2022-07-30,1
46.1279,32.4321,0848,2022-07-31,1
46.129845,32.431175,1012,2022-07-31,1
46.130981,32.437481,1154,2022-07-31,1
46.1369,32.4351,0848,2022-07-31,1
46.15128,33.47256,1113,2022-09-06,1
46.15136,33.47763,0932,2022-09-06,1
46.15152,33.48178,1019,2022-09-14,1
46.15387,33.47431,1113,2022-09-06,1
46.15392,33.47502,1019,2022-09-14,1
46.15493,33.48047,1019,2022-09-14,1
46.15504,33.46841,0932,2022-09-06,1
46.15573,33.47189,1113,2022-09-06,1
46.16176,34.06484,0949,2022-09-05,1
46.172089,34.084286,0942,2022-08-31,1
46.17337,34.078835,1124,2022-08-31,1
46.18227,33.51283,0932,2022-09-06,1
46.240471,34.233501,0918,2022-08-08,1
46.262547,34.340092,1012,2022-07-31,1
46.263653,34.345795,1012,2022-07-31,1
46.265976,34.270714,0006,2022-08-01,1
46.266727,34.269588,2224,2022-07-31,1
46.26968,34.272388,0006,2022-08-01,1
46.274818,33.708973,0918,2022-08-08,1
46.279232,34.315392,2330,2022-07-25,1
46.289673,33.711514,1100,2022-08-08,1
46.291023,34.306213,2242,2022-07-30,1
46.291176,34.300591,2242,2022-07-30,1
46.294498,34.303207,0024,2022-07-31,1
46.294617,34.30471,2242,2022-07-30,1
46.2948,34.299133,2242,2022-07-30,1
46.296864,34.301071,2242,2022-07-30,1
46.303333,34.298943,1012,2022-07-31,1
46.306149,34.274376,2324,2022-07-28,1
46.316433,34.291672,0018,2022-07-26,1
46.317966,34.260067,0918,2022-07-26,1
46.318459,34.182667,1130,2022-08-01,1
46.318535,34.189529,1130,2022-08-01,1
46.319832,34.184574,1130,2022-08-01,1
46.320168,34.264523,0918,2022-07-26,1
46.320415,34.267159,0918,2022-07-26,1
46.320633,34.293839,0018,2022-07-26,1
46.323902,34.255955,0918,2022-07-26,1
46.326023,34.186279,1048,2022-07-29,1
46.326084,34.260365,0918,2022-07-26,1
46.326344,34.263039,0918,2022-07-26,1
46.3295,34.1861,1035,2022-07-29,1
46.329681,34.18544,1048,2022-07-29,1
46.330051,34.202957,0906,2022-07-29,1
46.3302,34.1926,0900,2022-07-29,1
46.335327,34.197533,0906,2022-07-29,1
46.336262,34.19836,0906,2022-07-29,1
46.35,34.0134,1148,2022-08-02,1
46.3506,34.0041,1148,2022-08-02,1
46.351242,34.38129,1030,2022-07-22,1
46.352802,34.086494,0936,2022-08-02,1
46.353146,34.382729,0954,2022-07-24,1
46.354153,34.091129,0936,2022-08-02,1
46.354187,34.148098,2318,2022-08-08,1
46.354328,34.030586,0936,2022-08-02,1
46.355686,34.11729,1042,2022-08-09,1
46.355782,34.469414,0948,2022-07-27,1
46.35598,34.439716,0000,2022-07-27,1
46.356358,34.122807,1042,2022-08-09,1
46.356594,34.470787,0948,2022-07-27,1
46.3571,33.9995,1010,2022-08-02,1
46.357841,34.083435,0936,2022-08-02,1
46.358013,34.022808,0936,2022-08-02,1
46.3592,34.088093,0936,2022-08-02,1
46.359379,34.027508,0936,2022-08-02,1
46.3596,34.0029,1010,2022-08-02,1
46.360546,34.092739,0936,2022-08-02,1
46.363346,34.000946,1112,2022-08-02,1
46.364029,34.002579,0936,2022-08-02,1
46.365204,34.314113999999996,0000,2022-07-27,1
46.365387,34.007259,0936,2022-08-02,1
46.365799,33.999878,0936,2022-08-02,1
46.366753,34.011967,0936,2022-08-02,1
46.367191,34.004559,0936,2022-08-02,1
46.368572,34.009235,0936,2022-08-02,1
46.3699,34.0066,0836,2022-08-02,1
46.370064,34.123981,0954,2022-07-24,1
46.370216,34.122204,0954,2022-07-24,1
46.370434,34.004177,0936,2022-08-02,1
46.371628,34.476673,0006,2022-07-24,1
46.371696,34.474133,2224,2022-07-23,1
46.3718,33.9938,0836,2022-08-02,1
46.371803,34.008884,0936,2022-08-02,1
46.3724,34.1331,1908,2022-07-23,1
46.372532,34.476597,0006,2022-07-24,1
46.373993,34.275715,1000,2022-08-06,1
46.37402,34.488602,1030,2022-07-22,1
46.3745,32.4642,1048,2022-07-27,1
46.376713,34.468143,2224,2022-07-23,1
46.377338,34.276279,0012,2022-08-06,1
46.378052,32.466541,1124,2022-07-27,1
46.378242,32.471245,1124,2022-07-27,1
46.378517,34.27121,0012,2022-08-06,1
46.378574,34.141563,0006,2022-07-24,1
46.379158,34.474739,0948,2022-07-19,1
46.380325,34.058773,0936,2022-08-02,1
46.380779,34.42371,2242,2022-07-30,1
46.380932,34.418182,2242,2022-07-30,1
46.38142,32.46854,0948,2022-07-27,1
46.381428,34.05267,1018,2022-08-05,1
46.381676,34.063438,0936,2022-08-02,1
46.382233,34.422676,0024,2022-07-31,1
46.383087,32.456703,1030,2022-07-30,1
46.383167,34.40551,0042,2022-07-22,1
46.383171,34.40126,0042,2022-07-22,1
46.383366,32.466114,1124,2022-07-27,1
46.383549,32.47081,1124,2022-07-27,1
46.383755,34.060524,0936,2022-08-02,1
46.383991,34.423721,2242,2022-07-30,1
46.384178,34.418228,2242,2022-07-30,1
46.384789,34.051395,1018,2022-08-05,1
46.38512,34.142902,1124,2022-07-27,1
46.385361,34.055698,0936,2022-08-02,1
46.385529,32.450565,1030,2022-07-30,1
46.3856,34.1314,1048,2022-07-27,1
46.3856,34.4925,2340,2022-07-26,1
46.386154,32.465786,0948,2022-07-27,1
46.386478,34.024075,1024,2022-08-10,1
46.386589,34.418655,2242,2022-07-30,1
46.386715,34.060368,0936,2022-08-02,1
46.386765,34.149529,0948,2022-07-27,1
46.38726,32.469845,0948,2022-07-27,1
46.388145,34.050121,1018,2022-08-05,1
46.388565,34.418152,0024,2022-07-31,1
46.388744,34.485691,0000,2022-07-27,1
46.388794,34.057476,0936,2022-08-02,1
46.388969,34.148968000000004,0948,2022-07-27,1
46.389462,34.429661,2242,2022-07-30,1
46.389832,34.418659,2242,2022-07-30,1
46.391224,34.427586,0024,2022-07-31,1
46.3919,34.0406,0842,2022-08-09,1
46.39193,34.430161,2242,2022-07-30,1
46.392399,34.413597,2242,2022-07-30,1
46.394367,34.146946,1030,2022-07-22,1
46.3948,32.4832,0912,2022-07-27,1
46.395687,34.110195,1030,2022-07-22,1
46.396347,32.092747,1000,2022-08-06,1
46.3973,32.1005,0811,2022-08-06,1
46.397644,34.14592,1030,2022-07-22,1
46.397858,32.098831,1000,2022-08-06,1
46.398026,32.471493,0948,2022-07-27,1
46.398232,34.379524,1030,2022-07-22,1
46.398914,32.472397,0948,2022-07-27,1
46.398968000000004,34.384499,1030,2022-07-22,1
46.399132,32.475471,0948,2022-07-27,1
46.399361,32.104904,1000,2022-08-06,1
46.399666,32.474266,1124,2022-07-27,1
46.3997,32.4606,0912,2022-07-27,1
46.399704,34.389469,1030,2022-07-22,1
46.399799,32.067173,0954,2022-05-05,1
46.3998,34.1348,1031,2022-07-22,1
46.399998,32.476379,0948,2022-07-27,1
46.400063,32.071938,0012,2022-08-06,1
46.400444,34.394447,1030,2022-07-22,1
46.401054,34.101849,1018,2022-08-05,1
46.4011,32.4635,1048,2022-07-27,1
46.402004,34.10714,1018,2022-08-05,1
46.4021,32.096653,1000,2022-08-06,1
46.402386,32.067276,1018,2022-08-05,1
46.4025,32.0806,1040,2022-08-05,1
46.402748,32.468727,0948,2022-07-27,1
46.402988,34.388454,1030,2022-07-22,1
46.403603,32.102734,1000,2022-08-06,1
46.403637,32.469616,0948,2022-07-27,1
