country_id,latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,frp,daynight
UKR,47.44049,32.441,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,12.03,D
UKR,47.45847,32.32447,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.69,D
UKR,47.4593,32.32955,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,3.69,D
UKR,47.46175,32.3233,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.66,D
UKR,47.46258,32.32838,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.66,D
UKR,47.46341,32.33347,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.59,D
UKR,47.46419,32.06364,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.63,D
UKR,47.46669,32.3323,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.59,D
UKR,47.469970000000004,32.33114,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,13.88,D
UKR,47.4708,32.33623,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,13.88,D
UKR,47.47732,32.3124,0.39,0.36,2023-07-25,1034,N,VIIRS,l,2.0NRT,3.12,D
UKR,47.47839,32.59632,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.83,D
UKR,47.48192,32.74188,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,2.75,D
UKR,47.48388,32.31006,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,4.16,D
UKR,47.48863,32.2331,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,5.1,D
UKR,47.48885,36.36682,0.41,0.37,2023-07-25,1034,N,VIIRS,l,2.0NRT,5.79,D
UKR,47.48983,35.28146,0.4,0.37,2023-07-25,1034,N,VIIRS,n,2.0NRT,1.97,D
UKR,47.49067,32.58668,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,45.95,D
UKR,47.49148,32.59174,0.39,0.36,2023-07-25,1034,N,VIIRS,n,2.0NRT,7.96,D
UKR,47.50415,35.88464,0.41,0.37,2023-07-25,1034,N,VIIRS,l,2.0NRT,4.41,D
UKR,47.52239,32.71979,0.39,0.36,2023-07-25,1034,N,VIIRS,l,2.0NRT,1.5,D
