id_w_time,LATITUDE,LONGITUDE,id,x,y,year,time_of_year,ACQ_TIME,date,fire,pop_density,city,in_urban_area,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive
24.7-49-155-2023,48.97762,24.71176,24.7-49,24.700000000000003,49,2023,155,2346,2023-06-04,1,280.86313138405484,NA,TRUE,843.08856201171875,1,1,4,1,1,25-49,94,1
24.7-49-156-2023,48.97688,24.71497,24.7-49,24.700000000000003,49,2023,156,37,2023-06-05,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,4,1,1,25-49,94,0
24.7-49-156-2023,48.97744,24.71058,24.7-49,24.700000000000003,49,2023,156,2326,2023-06-05,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,4,1,1,25-49,94,0
24.7-49-156-2023,48.97781,24.70968,24.7-49,24.700000000000003,49,2023,156,37,2023-06-05,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,4,1,1,25-49,94,0
24.7-49-156-2023,48.97689,24.70965,24.7-49,24.700000000000003,49,2023,156,126,2023-06-05,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,4,1,1,25-49,94,0
24.7-49-157-2023,48.97526,24.7114,24.7-49,24.700000000000003,49,2023,157,16,2023-06-06,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,1,1,1,25-49,94,0
24.7-49-158-2023,48.977290000000004,24.71321,24.7-49,24.700000000000003,49,2023,158,2337,2023-06-07,1,280.86313138405484,NA,TRUE,843.08856201171875,0,3,1,1,1,25-49,94,0
24.7-49-161-2023,48.97633,24.71363,24.7-49,24.700000000000003,49,2023,161,1119,2023-06-10,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,1,1,1,25-49,94,0
24.7-49-172-2023,48.97552,24.71317,24.7-49,24.700000000000003,49,2023,172,1110,2023-06-21,1,280.86313138405484,NA,TRUE,843.08856201171875,1,2,5,1,1,25-49,94,1
24.7-49-173-2023,48.97766,24.7054,24.7-49,24.700000000000003,49,2023,173,2307,2023-06-22,1,280.86313138405484,NA,TRUE,571.40521240234375,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97832,24.70895,24.7-49,24.700000000000003,49,2023,173,2358,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97542,24.70764,24.7-49,24.700000000000003,49,2023,173,2307,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97725,24.7108,24.7-49,24.700000000000003,49,2023,173,16,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97481,24.71281,24.7-49,24.700000000000003,49,2023,173,1145,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97784,24.71417,24.7-49,24.700000000000003,49,2023,173,2358,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97639,24.71266,24.7-49,24.700000000000003,49,2023,173,107,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-173-2023,48.97604,24.71217,24.7-49,24.700000000000003,49,2023,173,107,2023-06-22,1,280.86313138405484,NA,TRUE,843.08856201171875,4,2,8,1,1,25-49,94,1
24.7-49-174-2023,48.97496,24.70779,24.7-49,24.700000000000003,49,2023,174,48,2023-06-23,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,1,1,1,25-49,94,0
24.7-49-177-2023,48.97538,24.70853,24.7-49,24.700000000000003,49,2023,177,41,2023-06-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,5,1,1,25-49,94,0
24.7-49-177-2023,48.97783,24.70876,24.7-49,24.700000000000003,49,2023,177,132,2023-06-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,5,1,1,25-49,94,0
24.7-49-177-2023,48.97709,24.70883,24.7-49,24.700000000000003,49,2023,177,41,2023-06-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,5,1,1,25-49,94,0
24.7-49-177-2023,48.97604,24.7093,24.7-49,24.700000000000003,49,2023,177,2331,2023-06-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,5,1,1,25-49,94,0
24.7-49-177-2023,48.97601,24.71452,24.7-49,24.700000000000003,49,2023,177,41,2023-06-26,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,5,1,1,25-49,94,0
24.7-49-178-2023,48.97571,24.7106,24.7-49,24.700000000000003,49,2023,178,22,2023-06-27,1,280.86313138405484,NA,TRUE,843.08856201171875,0,4,1,1,1,25-49,94,0
24.7-49-179-2023,48.97545,24.70806,24.7-49,24.700000000000003,49,2023,179,3,2023-06-28,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,2,1,1,25-49,94,0
24.7-49-179-2023,48.97453,24.70993,24.7-49,24.700000000000003,49,2023,179,54,2023-06-28,1,280.86313138405484,NA,TRUE,524.22601318359375,0,1,2,1,1,25-49,94,0
24.7-49-180-2023,48.97478,24.71258,24.7-49,24.700000000000003,49,2023,180,1110,2023-06-29,1,280.86313138405484,NA,TRUE,843.08856201171875,0,5,1,1,1,25-49,94,0
24.7-49-181-2023,48.97484,24.70992,24.7-49,24.700000000000003,49,2023,181,16,2023-06-30,1,280.86313138405484,NA,TRUE,843.08856201171875,0,5,4,1,1,25-49,94,0
24.7-49-181-2023,48.9752,24.71379,24.7-49,24.700000000000003,49,2023,181,105,2023-06-30,1,280.86313138405484,NA,TRUE,843.08856201171875,0,5,4,1,1,25-49,94,0
24.7-49-181-2023,48.9754,24.70839,24.7-49,24.700000000000003,49,2023,181,1145,2023-06-30,1,280.86313138405484,NA,TRUE,843.08856201171875,0,5,4,1,1,25-49,94,0
24.7-49-181-2023,48.9756,24.70793,24.7-49,24.700000000000003,49,2023,181,1145,2023-06-30,1,280.86313138405484,NA,TRUE,843.08856201171875,0,5,4,1,1,25-49,94,0
24.7-49-183-2023,48.97751,24.71136,24.7-49,24.700000000000003,49,2023,183,28,2023-07-02,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-183-2023,48.97635,24.71315,24.7-49,24.700000000000003,49,2023,183,1106,2023-07-02,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-190-2023,48.97697,24.71168,24.7-49,24.700000000000003,49,2023,190,48,2023-07-09,1,280.86313138405484,NA,TRUE,843.08856201171875,2,1,5,1,1,25-49,94,1
24.7-49-190-2023,48.97564,24.71066,24.7-49,24.700000000000003,49,2023,190,2337,2023-07-09,1,280.86313138405484,NA,TRUE,843.08856201171875,2,1,5,1,1,25-49,94,1
24.7-49-191-2023,48.97632,24.71087,24.7-49,24.700000000000003,49,2023,191,120,2023-07-10,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,2,1,1,25-49,94,0
24.7-49-191-2023,48.97551,24.7124,24.7-49,24.700000000000003,49,2023,191,1106,2023-07-10,1,280.86313138405484,NA,TRUE,843.08856201171875,0,1,2,1,1,25-49,94,0
24.7-49-192-2023,48.97602,24.71219,24.7-49,24.700000000000003,49,2023,192,2352,2023-07-11,1,280.86313138405484,NA,TRUE,843.08856201171875,0,2,2,1,1,25-49,94,0
24.7-49-192-2023,48.97648,24.70603,24.7-49,24.700000000000003,49,2023,192,2352,2023-07-11,1,280.86313138405484,NA,TRUE,571.40521240234375,0,2,2,1,1,25-49,94,0
24.7-49-193-2023,48.97696,24.71295,24.7-49,24.700000000000003,49,2023,193,1119,2023-07-12,1,280.86313138405484,NA,TRUE,843.08856201171875,0,3,4,1,1,25-49,94,0
24.7-49-193-2023,48.97673,24.71055,24.7-49,24.700000000000003,49,2023,193,41,2023-07-12,1,280.86313138405484,NA,TRUE,843.08856201171875,0,3,4,1,1,25-49,94,0
24.7-49-193-2023,48.97629,24.70763,24.7-49,24.700000000000003,49,2023,193,132,2023-07-12,1,280.86313138405484,NA,TRUE,843.08856201171875,0,3,4,1,1,25-49,94,0
24.7-49-193-2023,48.97476,24.70953,24.7-49,24.700000000000003,49,2023,193,2331,2023-07-12,1,280.86313138405484,NA,TRUE,843.08856201171875,0,3,4,1,1,25-49,94,0
