id_w_time,LATITUDE,LONGITUDE,id,x,y,year,time_of_year,ACQ_TIME,date,fire,pop_density,city,in_urban_area,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive
24.2-49.2-87-2022,49.204948,24.201794,24.2-49.2,24.200000000000003,49.2,2022,87,1006,2022-03-28,1,44.37984215882089,NA,TRUE,63.405250549316406,0,8,7,1,1,24-49,28,0
24.2-49.2-87-2022,49.225346,24.241776,24.2-49.2,24.200000000000003,49.2,2022,87,1148,2022-03-28,1,44.37984215882089,NA,TRUE,72.7749252319336,0,8,7,1,1,24-49,28,0
24.2-49.2-87-2022,49.205727,24.200706,24.2-49.2,24.200000000000003,49.2,2022,87,1148,2022-03-28,1,44.37984215882089,NA,TRUE,63.405250549316406,0,8,7,1,1,24-49,28,0
24.2-49.2-87-2022,49.204205,24.200144,24.2-49.2,24.200000000000003,49.2,2022,87,1148,2022-03-28,1,44.37984215882089,NA,TRUE,63.405250549316406,0,8,7,1,1,24-49,28,0
24.2-49.2-87-2022,49.227093000000004,24.242266,24.2-49.2,24.200000000000003,49.2,2022,87,1148,2022-03-28,1,44.37984215882089,NA,TRUE,72.7749252319336,0,8,7,1,1,24-49,28,0
24.2-49.3-77-2022,49.321896,24.240294,24.2-49.3,24.200000000000003,49.3,2022,77,1136,2022-03-18,1,76.11090999179416,NA,TRUE,85.56790924072266,1,5,8,1,1,24-49,28,1
24.2-49.3-80-2022,49.348709,24.232508,24.2-49.3,24.200000000000003,49.3,2022,80,1036,2022-03-21,1,76.11090999179416,NA,TRUE,84.8481674194336,0,4,3,1,1,24-49,28,0
24.2-49.3-80-2022,49.3468,24.2457,24.2-49.3,24.200000000000003,49.3,2022,80,1109,2022-03-21,1,76.11090999179416,NA,TRUE,26.626211166381836,0,4,3,1,1,24-49,28,0
24.2-49.3-80-2022,49.3442,24.2309,24.2-49.3,24.200000000000003,49.3,2022,80,1109,2022-03-21,1,76.11090999179416,NA,TRUE,106.3639373779297,0,4,3,1,1,24-49,28,0
24.2-49.3-82-2022,49.258633,24.223957,24.2-49.3,24.200000000000003,49.3,2022,82,2354,2022-03-23,1,76.11090999179416,NA,TRUE,23.09494400024414,0,5,5,1,1,24-49,28,0
