LATITUDE,LONGITUDE,ACQ_TIME,date,war_fire
44.58822,33.43077,0030,2022-12-30,0
44.58863,33.42978,0030,2022-12-30,0
44.74426,33.65842,1002,2023-01-21,0
44.770267,33.860191,0030,2022-05-25,0
44.77029,33.861984,0030,2022-05-25,0
44.77042,33.85917,0100,2022-09-02,0
44.770447,33.863388,0042,2022-07-22,0
44.77062,33.86036,0048,2022-09-08,0
44.77066,33.86031,0018,2022-10-17,0
44.770679,33.862167,0012,2022-08-30,0
44.770679,33.86396,0006,2022-06-22,0
44.770741,33.860996,2254,2022-05-24,0
44.77079,33.86252,0009,2022-11-29,0
44.77085,33.86031,0041,2022-09-19,0
44.770874,33.862453,0024,2022-07-23,0
44.770908,33.862305,0024,2022-04-02,0
44.771011,33.858856,2336,2022-06-12,0
44.77102,33.86243,0024,2022-10-22,0
44.771023,33.862003,2354,2022-08-30,0
44.771034,33.86018,2336,2022-04-09,0
44.771042,33.860847,0030,2022-08-29,0
44.77108,33.85884,2358,2022-09-15,0
44.77113,33.86187,0041,2022-10-05,0
44.77132,33.85971,2313,2022-11-15,0
44.771366,33.862865,2312,2022-05-07,0
44.771446,33.861095,2336,2022-05-11,0
44.77146,33.85749,2301,2022-09-18,0
44.771481,33.862236,2342,2022-05-16,0
44.771507,33.864414,0006,2022-06-06,0
44.77153,33.860523,2312,2022-04-05,0
44.77156,33.8622,0005,2022-11-24,0
44.77161,33.86103,0003,2022-10-07,0
44.77164,33.8606,2333,2022-10-13,0
44.77166,33.86039,2336,2022-03-08,0
44.77166,33.86277,2320,2022-09-17,0
44.771675,33.862495,2312,2022-06-08,0
44.771694,33.861259,0042,2022-04-17,0
44.771698,33.862602,2336,2022-08-07,0
44.7717,33.85944,2314,2022-10-14,0
44.771702,33.864651,0036,2022-05-14,0
44.77171,33.85844,2358,2022-10-17,0
44.77172,33.86138,2339,2022-10-02,0
44.771786,33.862553,2324,2022-05-01,0
44.771793,33.859192,2318,2022-06-13,0
44.77182,33.862411,2336,2022-04-25,0
44.771835,33.862503,2342,2022-06-17,0
44.771843,33.860218,0030,2022-08-29,0
44.771854,33.862915,2300,2022-07-16,0
44.771904,33.861286,0012,2022-05-10,0
44.77193,33.85738,0009,2022-10-12,0
44.77195,33.85873,2348,2022-08-25,0
44.77195,33.861019,2318,2022-08-16,0
44.771976,33.860146,0000,2022-06-17,0
44.772,33.86304,0024,2022-10-06,0
44.772011,33.860741,0036,2022-06-15,0
44.772022,33.863499,2318,2022-05-12,0
44.77203,33.861885,0018,2022-07-26,0
44.77206,33.861553,2318,2022-04-26,0
44.772072,33.861359,0042,2022-07-30,0
44.77211,33.862144,2342,2022-07-27,0
44.77211,33.86218,0100,2022-09-18,0
44.772118,33.859741,0048,2022-08-04,0
44.772179,33.860348,2348,2022-08-01,0
44.772198,33.862949,0000,2022-07-19,0
44.772209,33.860992,2248,2022-07-22,0
44.772209,33.862167,2330,2022-08-26,0
44.77222,33.85978,2339,2022-10-18,0
44.772247,33.862003,0012,2022-05-26,0
44.77235,33.862343,0012,2022-05-10,0
44.772369,33.857342,0042,2022-08-18,0
44.77243,33.85891,0035,2022-09-30,0
44.77245,33.85743,0009,2022-11-13,0
44.772495,33.86311,0000,2022-07-03,0
44.772503,33.859188,2324,2022-07-20,0
44.77254,33.86147,2345,2023-01-11,0
44.77264,33.863308,2342,2022-08-20,0
44.77266,33.86086,2333,2022-10-29,0
44.772667,33.863949,2324,2022-04-15,0
44.772697,33.862274,0012,2022-06-11,0
44.772705,33.861259,0006,2022-05-21,0
44.772713,33.863567,2318,2022-07-15,0
44.772736,33.861179,2330,2022-07-25,0
44.772766,33.861931,2354,2022-06-11,0
44.772766,33.861973,2348,2022-07-24,0
44.77277,33.85934,2346,2022-09-05,0
44.772793,33.863079,2324,2022-07-28,0
44.77282,33.863827,0042,2022-06-04,0
44.772831,33.864151,0006,2022-08-25,0
44.772923,33.861515,2330,2022-05-06,0
44.77295,33.86234,2345,2023-02-12,0
44.772976,33.862492,2306,2022-07-21,0
44.77299,33.85869,0017,2022-12-20,0
44.773014,33.864079,0036,2022-07-17,0
44.77315,33.86259,2333,2022-10-13,0
44.773155,33.861824,2306,2022-07-21,0
44.77325,33.85878,2329,2022-10-24,0
44.77327,33.861916,0030,2022-08-13,0
44.773289,33.862949,0036,2022-04-28,0
44.7733,33.860229,2242,2022-07-17,0
44.773304,33.861847,0018,2022-07-18,0
44.773346,33.85968,0018,2022-05-31,0
44.773346,33.860802,0042,2022-05-19,0
44.773357,33.858723,2312,2022-08-03,0
44.773357,33.863388,2330,2022-08-02,0
44.773376,33.860073,2242,2022-06-04,0
44.7734,33.86143,0047,2022-12-29,0
44.773426,33.862274,0012,2022-03-23,0
44.773453,33.862892,0024,2022-04-02,0
44.773533,33.861771,2354,2022-05-10,0
44.773548,33.862591,2312,2022-08-11,0
44.77356,33.8619,2335,2022-11-14,0
44.77357,33.8581,2329,2022-10-24,0
44.7736,33.85937,0018,2022-10-01,0
44.77364,33.86158,2257,2022-09-29,0
44.77372,33.862141,2342,2022-03-13,0
44.773792,33.861053,2342,2022-07-19,0
44.773792,33.863846,2348,2022-05-21,0
44.773811,33.861149,0000,2022-08-20,0
44.773846,33.861874,2336,2022-03-24,0
44.77385,33.86082,0054,2022-09-29,0
44.773872,33.864483,0024,2022-06-21,0
44.773876,33.862377,2342,2022-06-01,0
44.77388,33.862717,0000,2022-05-16,0
44.773903,33.859348,2354,2022-08-14,0
44.77394,33.86236,0030,2022-09-09,0
44.77396,33.862263,0012,2022-04-24,0
44.77397,33.86133,2326,2022-11-09,0
44.77397,33.8624,2314,2022-09-12,0
44.773972,33.859329,2354,2022-05-26,0
44.774021,33.86327,0012,2022-04-24,0
44.774029,33.863106,0006,2022-08-01,0
44.77405,33.86204,0035,2022-11-01,0
44.774078,33.861416,2254,2022-05-24,0
44.77409,33.861252,2330,2022-05-22,0
44.774094,33.861,2318,2022-08-08,0
44.77411,33.8602,2345,2022-11-08,0
44.77412,33.86063,2354,2022-08-14,0
44.774124,33.860142,2336,2022-07-14,0
44.774124,33.862545,2354,2022-04-24,0
44.77415,33.86047,2352,2022-09-10,0
44.774155,33.862591,0030,2022-03-22,0
44.77421,33.85882,2358,2022-10-01,0
44.774231,33.861649,0018,2022-07-26,0
44.774235,33.862186,0000,2022-05-16,0
44.77425,33.85955,2335,2022-12-16,0
44.774338,33.86116,2336,2022-04-09,0
44.77436,33.86101,2326,2022-09-06,0
44.774361,33.860695,0100,2022-08-17,0
44.774445,33.859417,0012,2022-07-13,0
44.77447,33.86233,2339,2022-11-03,0
44.77451,33.86002,2358,2022-09-15,0
44.77453,33.86332,0017,2023-01-05,0
44.7747,33.860241,0006,2022-07-24,0
44.7747,33.86044,2346,2022-10-07,0
44.774761,33.860306,0048,2022-08-04,0
44.774776,33.862591,0018,2022-05-15,0
44.774979,33.859909,0042,2022-06-20,0
44.77507,33.859818,0012,2022-08-06,0
44.775162,33.859188,2354,2022-08-06,0
44.775333,33.749275,2330,2022-04-04,0
44.775372,33.859261,0000,2022-07-27,0
44.775471,33.86047,0054,2022-08-12,0
44.775734,33.859638,2254,2022-08-04,0
44.77593,33.85994,0054,2022-09-29,0
44.777328,33.675926,1054,2022-04-05,0
44.7816,33.6779,0834,2022-04-05,0
44.787354,33.926525,1018,2022-08-05,0
