date,area_assessed_as_russia_controlled,name,change_in_area_assessed_as_russia_controlled,change_in_area_assessed_as_russia_controlled_in_past_7_days,change_in_area_assessed_as_russia_controlled_in_past_30_days,area_assessed_as_russia_controlled_percent
2022-02-24,81984426651.9391,UkraineControlMapAO24FEB2022.zip,NA,0,0,0.135819456108628
2022-02-25,102095118241.049,UkraineControlMapAO25FEB2022.zip,20110691589.109726,20110691589.109726,20110691589.109726,0.169135822461928
2022-02-26,121518640333.505,UkraineControlMapAO26FEB2022.zip,19423522092.456177,39534213681.5659,39534213681.5659,0.201313789839943
2022-02-27,122704269789.772,UkraineControlMapAO27FEB2022.zip,1185629456.267395,40719843137.8333,40719843137.8333,0.203277962237955
2022-02-28,121884160364.782,UkraineControlMapAO28FEB2022.zip,-820109424.9905396,39899733712.84276,39899733712.84276,0.201919328402231
2022-03-01,122725070955.509,UkraineControlMapAO1Mar2022.zip,840910590.7268677,40740644303.569626,40740644303.569626,0.203312422477931
2022-03-02,125187929705.443,AssessedRussianControlOfTerrainMAR2.zip,2462858749.934662,43203503053.50429,43203503053.50429,0.207392516095084
2022-03-03,125340099119.766,UkraineControlMapAO3Mar2022.zip,152169414.32225037,43355672467.82654,43355672467.82654,0.207644607473089
2022-03-04,129938217988.738,UkraineControlMapAO4Mar2022.zip,4598118868.972168,27843099747.68898,47953791336.798706,0.215262078612552
2022-03-05,129374502991.223,UkraineControlMapAO5Mar2022.zip,-563714997.5151825,7855862657.717621,47390076339.28352,0.21432820046655
2022-03-06,129374502991.223,UkraineControlMapAO6Mar2022.zip,0,6670233201.450226,47390076339.28352,0.21432820046655
2022-03-07,129226313049.315,UkraineControlMapAO7Mar2022.zip,-148189941.9080658,7342152684.5327,47241886397.37546,0.21408270167937
2022-03-08,129207045086.01,UkraineControlMapAO8Mar2022.zip,-19267963.304473877,6481974130.501358,47222618434.070984,0.214050781418374
2022-03-09,128758174297.305,UkraineControlMap_AO_09_March_2022.zip,-448870788.7054138,3570244591.8612823,46773747645.36557,0.213307159868834
2022-03-10,126905104499.49,UkraineControlMapAO10Mar2022.zip,-1853069797.8144836,1565005379.7245483,44920677847.55109,0.210237272789682
2022-03-11,126788543154.655,UkraineControlMapAO11MAR2022.zip,-116561344.83508301,-3149674834.0827026,44804116502.716,0.210044171500751
2022-03-12,126646766214.06,UkraineControlMapA12Mar2022.zip,-141776940.59472656,-2727736777.1622467,44662339562.12128,0.20980929680873
2022-03-13,126689433796.709,UkraineControlMapAO13MAR.zip,42667582.64880371,-2685069194.513443,44705007144.77008,0.209879982036468
2022-03-14,126689348550.39,RussianAssessedCoTinUkraine_14_March_2022.zip,-85246.319580078125,-2536964498.9249573,44704921898.4505,0.209879840813199
2022-03-15,126689348550.39,UkraineControlMapAO15Mar2022.zip,0,-2517696535.6204834,44704921898.4505,0.209879840813199
2022-03-16,126670280770.386,RussianAssessedCoTinUkraine_16_March_2022.zip,-19067780.003326416,-2087893526.918396,44685854118.447174,0.20984825218576
2022-03-17,126669720951.387,RussianAssessedCoTinUkraine_17_March_2022.zip,-559818.99951171875,-235383548.10342407,44685294299.44766,0.209847324761918
2022-03-18,126430580794.628,UkraineControlMapAO18MAR2022.zip,-239140156.75891113,-357962360.0272522,44446154142.68875,0.209451153350454
2022-03-19,126430580794.628,UkraineControlMapAO19MAR2022.zip,0,-216185419.43252563,44446154142.68875,0.209451153350454
2022-03-20,126430580794.628,RussianAssessedCoTinUkraine_20_March_2022.zip,0,-258853002.08132935,44446154142.68875,0.209451153350454
2022-03-21,126430580794.628,UkraineControlMapAO21MAR2022.zip,0,-258767755.76174927,44446154142.68875,0.209451153350454
2022-03-22,126430580794.628,UkraineControlMapAO22March2022.zip,0,-258767755.76174927,44446154142.68875,0.209451153350454
2022-03-23,136929784599.183,UkraineControlMapAO23March2022.zip,10499203804.555664,10259503828.797241,54945357947.244415,0.226844653659511
2022-03-24,136934536022.964,UkraineControlMapAO24MAR2022.zip,4751423.780990601,10264815071.577744,54950109371.025406,0.22685252510315
2022-03-25,136934536022.964,UkraineControlMapAO25MAR2022.zip,0,10503955228.336655,54950109371.025406,0.22685252510315
