LATITUDE,LONGITUDE,date,ACQ_TIME,in_ukraine_held_area
44.54743,33.721,2023-04-04,1121,0
44.58822,33.43077,2022-12-30,0030,0
44.58863,33.42978,2022-12-30,0030,0
44.6717,33.79584,2023-05-13,1051,0
44.72174,33.83422,2023-04-09,56,0
44.72387,33.83364,2023-04-09,56,0
44.74426,33.65842,2023-01-21,1002,0
44.770267,33.860191,2022-05-25,0030,0
44.77028,33.85943,2023-05-12,35,0
44.77028,33.86131,2023-05-28,35,0
44.77029,33.861984,2022-05-25,0030,0
44.77042,33.85917,2022-09-02,0100,0
44.770447,33.863388,2022-07-22,0042,0
44.77062,33.86036,2022-09-08,0048,0
44.77066,33.86031,2022-10-17,0018,0
44.770679,33.862167,2022-08-30,0012,0
44.770679,33.86396,2022-06-22,0006,0
44.770741,33.860996,2022-05-24,2254,0
44.77079,33.86252,2022-11-29,0009,0
44.77085,33.86031,2022-09-19,0041,0
44.770874,33.862453,2022-07-23,0024,0
44.770908,33.862305,2022-04-02,0024,0
44.77096,33.86178,2023-04-15,43,0
44.771011,33.858856,2022-06-12,2336,0
44.77102,33.86243,2022-10-22,0024,0
44.771023,33.862003,2022-08-30,2354,0
44.771034,33.86018,2022-04-09,2336,0
44.771042,33.860847,2022-08-29,0030,0
44.77105,33.85941,2023-03-03,0049,0
44.77108,33.85884,2022-09-15,2358,0
44.77113,33.86187,2022-10-05,0041,0
44.77124,33.86328,2023-05-15,30,0
44.77129,33.8599,2023-04-18,37,0
44.77132,33.85971,2022-11-15,2313,0
44.77134,33.8599,2023-06-04,2346,0
44.771366,33.862865,2022-05-07,2312,0
44.77143,33.86285,2023-04-09,3,0
44.771446,33.861095,2022-05-11,2336,0
44.77146,33.85749,2022-09-18,2301,0
44.77148,33.86302,2023-03-30,2331,0
44.771481,33.862236,2022-05-16,2342,0
44.771507,33.864414,2022-06-06,0006,0
44.77153,33.860523,2022-04-05,2312,0
44.77153,33.86183,2023-05-14,2339,0
44.77156,33.8622,2022-11-24,0005,0
44.77156,33.86388,2023-06-08,2320,0
44.77158,33.85997,2023-04-17,2348,0
44.77161,33.86103,2022-10-07,0003,0
44.77164,33.8606,2022-10-13,2333,0
44.77166,33.86039,2022-03-08,2336,0
44.77166,33.86277,2022-09-17,2320,0
44.771675,33.862495,2022-06-08,2312,0
44.77169,33.85924,2023-06-06,2307,0
44.771694,33.861259,2022-04-17,0042,0
44.771698,33.862602,2022-08-07,2336,0
44.7717,33.85944,2022-10-14,2314,0
44.771702,33.864651,2022-05-14,0036,0
44.77171,33.85844,2022-10-17,2358,0
44.77172,33.85786,2023-06-05,2329,0
44.77172,33.86138,2022-10-02,2339,0
44.77178,33.85971,2023-03-09,34,0
44.771786,33.862553,2022-05-01,2324,0
44.771793,33.859192,2022-06-13,2318,0
44.77181,33.86358,2023-05-11,2346,0
44.77182,33.862411,2022-04-25,2336,0
44.771835,33.862503,2022-06-17,2342,0
44.771843,33.860218,2022-08-29,0030,0
44.771854,33.862915,2022-07-16,2300,0
44.77186,33.86164,2023-03-24,2346,0
44.77187,33.86205,2023-04-26,2326,0
44.77189,33.85883,2023-03-13,2352,0
44.771904,33.861286,2022-05-10,0012,0
44.77193,33.85738,2022-10-12,0009,0
44.77195,33.85873,2022-08-25,2348,0
44.77195,33.861019,2022-08-16,2318,0
44.771976,33.860146,2022-06-17,0000,0
44.77199,33.86073,2023-06-01,9,0
44.772,33.86304,2022-10-06,0024,0
44.772011,33.860741,2022-06-15,0036,0
44.772022,33.863499,2022-05-12,2318,0
44.77203,33.861885,2022-07-26,0018,0
44.77205,33.86279,2023-04-26,2326,0
44.77206,33.861553,2022-04-26,2318,0
44.772072,33.861359,2022-07-30,0042,0
44.7721,33.86064,2023-06-04,54,0
44.77211,33.86211,2023-05-05,2358,0
44.77211,33.862144,2022-07-27,2342,0
44.77211,33.86218,2022-09-18,0100,0
44.772118,33.859741,2022-08-04,0048,0
44.77213,33.8606,2023-06-02,41,0
44.77216,33.8644,2023-06-08,2320,0
44.772179,33.860348,2022-08-01,2348,0
44.772198,33.862949,2022-07-19,0000,0
44.7722,33.86189,2023-06-02,2333,0
44.772209,33.860992,2022-07-22,2248,0
44.772209,33.862167,2022-08-26,2330,0
44.77222,33.85978,2022-10-18,2339,0
44.772247,33.862003,2022-05-26,0012,0
44.7723,33.85948,2023-03-25,37,0
44.77234,33.85989,2023-06-09,11,0
44.77235,33.86087,2023-06-15,2250,0
44.77235,33.862343,2022-05-10,0012,0
44.772369,33.857342,2022-08-18,0042,0
44.77241,33.85878,2023-05-29,18,0
44.77242,33.85724,2023-06-17,102,0
44.77242,33.85846,2023-06-06,2307,0
44.77243,33.85891,2022-09-30,0035,0
44.77243,33.85955,2023-03-29,2352,0
44.77245,33.85743,2022-11-13,0009,0
44.77245,33.86143,2023-03-08,5,0
44.772495,33.86311,2022-07-03,0000,0
44.772503,33.859188,2022-07-20,2324,0
44.77254,33.86147,2023-01-11,2345,0
44.7726,33.86085,2023-04-25,56,0
44.77261,33.86392,2023-05-11,3,0
44.77264,33.863308,2022-08-20,2342,0
44.77266,33.86086,2022-10-29,2333,0
44.772667,33.863949,2022-04-15,2324,0
44.772697,33.862274,2022-06-11,0012,0
44.772705,33.861259,2022-05-21,0006,0
44.772713,33.863567,2022-07-15,2318,0
44.772736,33.861179,2022-07-25,2330,0
44.77274,33.85936,2023-05-17,2333,0
44.772766,33.861931,2022-06-11,2354,0
44.772766,33.861973,2022-07-24,2348,0
44.77277,33.85918,2023-04-10,37,0
44.77277,33.85934,2022-09-05,2346,0
44.772793,33.863079,2022-07-28,2324,0
44.77282,33.863827,2022-06-04,0042,0
44.772831,33.864151,2022-08-25,0006,0
44.7729,33.86265,2023-06-03,2314,0
44.772923,33.861515,2022-05-06,2330,0
44.77295,33.86234,2023-02-12,2345,0
44.77296,33.85954,2023-05-15,2322,0
