latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
64.30646,-148.2567,330.48,0.69,0.74,2026-08-10,00:07,N20,nominal,2.0NRT,286.13,5.81,D
64.30759,-148.25047,329.02,0.69,0.74,2026-08-10,00:07,N20,nominal,2.0NRT,286.4,5.24,D
64.38043,-148.23538,329.35,0.69,0.74,2026-08-10,00:07,N20,nominal,2.0NRT,283.88,4.68,D
64.37356,-148.23746,325.25,0.69,0.74,2026-08-10,00:07,N20,nominal,2.0NRT,284.11,3.79,D
64.36127,-148.13646,328.12,0.7,0.75,2026-08-10,00:07,N20,nominal,2.0NRT,283.37,4.61,D
64.37515,-148.23477,340.46,0.69,0.74,2026-08-10,00:07,N20,nominal,2.0NRT,285.13,6.49,D
64.36316,-148.1338,328.47,0.7,0.75,2026-08-10,00:07,N20,nominal,2.0NRT,283.29,4.37,D
64.32816,-148.41183,344.05,0.68,0.74,2026-08-10,00:07,N20,nominal,2.0NRT,285.82,9.98,D
68.45122,157.12425,347.56,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,298.62,17.68,D
68.48531,157.22423,342.49,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,295.15,6.47,D
68.48808,157.23238,344.38,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,294.82,6.78,D
68.36744,156.89799,331.9,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,295.15,4.14,D
68.37286,156.88127,336.73,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,294.82,9.32,D
68.48099,157.2014,338.77,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,292.21,12.89,D
68.48663,157.21823,351.79,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,298.18,8.2,D
68.48942,157.22656,351.91,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,298.23,8.2,D
68.49216,157.23479,342.95,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,296.83,9.55,D
68.33762,156.79559,348.54,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,294.31,11.39,D
68.44958,157.12556,333.14,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,299.42,21.38,D
68.36642,156.89761,330.78,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,294.76,2.87,D
68.40312,157.04086,334.53,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,296.9,6.52,D
68.40595,157.04921,342.77,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,294.96,18.7,D
68.38269,156.99831,341,0.47,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,294.25,5.61,D
68.40275,157.05737,345.41,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,296.16,18.7,D
68.37943,157.0063,349.84,0.47,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,297.61,14.99,D
68.37045,156.99751,338.4,0.47,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,294.06,4.09,D
68.39915,157.08195,355.91,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,299.88,21.89,D
68.3931,157.08173,326.45,0.46,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,292.06,2.36,D
68.36974,157.03062,335.06,0.47,0.47,2026-08-10,00:11,N20,nominal,2.0NRT,293.53,8.95,D
68.76438,155.23865,347.96,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,289.2,131.43,D
68.75512,155.23018,351.42,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,301.35,48.71,D
68.75816,155.23872,349.75,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,295.68,48.71,D
68.86655,155.54553,341.38,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,295.23,130.37,D
68.74884,155.23007,356.38,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,293.58,23.41,D
68.75192,155.23875,355.88,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,297.94,48.71,D
68.85744,155.53709,344.25,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,289.02,13.14,D
68.86338,155.55403,342.18,0.47,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,292.61,130.37,D
68.86042,155.54558,367,0.47,0.48,2026-08-10,00:11,N20,high,2.0NRT,338.41,130.37,D
68.74873,155.24733,334.87,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,306.97,114.37,D
68.75179,155.25591,347.92,0.48,0.48,2026-08-10,00:11,N20,nominal,2.0NRT,290.29,114.37,D
