latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
68.64368,57.95761,324.05,0.32,0.55,2025-12-08,00:58,N21,nominal,2.0NRT,256.24,1.86,N
68.58492,58.04926,345.72,0.33,0.55,2025-12-08,00:58,N21,nominal,2.0NRT,259.36,6.08,N
63.31641,9.1431,303.86,0.48,0.48,2025-12-08,01:02,N21,nominal,2.0NRT,275.53,1.53,N
51.6894,15.97897,326.31,0.38,0.36,2025-12-08,01:06,N21,nominal,2.0NRT,265.67,4.57,N
53.63248,-0.245,297.76,0.45,0.63,2025-12-08,01:06,N21,nominal,2.0NRT,281.46,1.68,N
53.64425,-0.2582,295.94,0.45,0.63,2025-12-08,01:06,N21,nominal,2.0NRT,278.29,0.69,N
49.67783,18.65563,297.2,0.43,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,271.37,4.45,N
50.53408,17.97823,307.41,0.4,0.37,2025-12-08,01:06,N21,nominal,2.0NRT,276.45,1.74,N
50.33382,19.28628,313.7,0.43,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,276.45,1.66,N
50.33503,19.28747,331,0.43,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,278.49,4.47,N
50.34515,19.29222,295.93,0.43,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,274.58,0.93,N
50.34055,19.33473,311.35,0.43,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,280.36,2.13,N
50.48997,19.46514,305.98,0.43,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,273.51,1.83,N
52.47231,4.61233,297.41,0.54,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,282.11,0.98,N
52.47372,4.58819,332.65,0.55,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,280.95,4.64,N
52.47841,4.58895,299.48,0.55,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,281.9,4.64,N
52.47438,4.61125,296.44,0.54,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,282.6,1.12,N
52.47569,4.58706,336.78,0.55,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,282.88,4.05,N
52.47994,4.59593,299.65,0.55,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,282.17,4.05,N
52.48463,4.59662,307.56,0.55,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,281.91,1.8,N
52.48507,4.58853,311.73,0.55,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,281.47,1.8,N
52.49312,4.61409,305.58,0.54,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,281.47,6.13,N
52.49268,4.62217,321.91,0.54,0.51,2025-12-08,01:06,N21,nominal,2.0NRT,282.29,3.4,N
50.79567,19.19058,321.01,0.42,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,274.87,1.73,N
50.79873,19.18711,299.69,0.42,0.38,2025-12-08,01:06,N21,nominal,2.0NRT,274.63,1.39,N
51.02617,2.271,309.47,0.33,0.56,2025-12-08,01:06,N21,nominal,2.0NRT,282.85,1.07,N
51.03585,2.28646,304.94,0.33,0.56,2025-12-08,01:06,N21,nominal,2.0NRT,282.49,1.13,N
51.04058,2.29656,296.4,0.33,0.56,2025-12-08,01:06,N21,nominal,2.0NRT,284.03,0.78,N
51.04078,2.29174,297.17,0.33,0.56,2025-12-08,01:06,N21,nominal,2.0NRT,283.4,0.78,N
51.04572,2.29704,314.98,0.33,0.56,2025-12-08,01:06,N21,nominal,2.0NRT,283.19,0.78,N
51.04591,2.29223,296.06,0.33,0.56,2025-12-08,01:06,N21,nominal,2.0NRT,280.88,0.78,N
