latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-27.64808,-56.19826,301.2,2.09,1.41,2026-05-21,00:26,T,39,6.1NRT,279.78,23.17,N
-27.63559,-56.19969,300.95,2.09,1.41,2026-05-21,00:26,T,36,6.1NRT,280.29,22.96,N
-20.76889,-48.57093,305.34,1.16,1.07,2026-05-21,00:28,T,64,6.1NRT,287.88,9.71,N
-17.8398,-50.80791,300.23,1.02,1.01,2026-05-21,00:28,T,22,6.1NRT,289.15,4.33,N
-17.84114,-50.81733,303.32,1.02,1.01,2026-05-21,00:28,T,54,6.1NRT,289.03,6.06,N
-16.45716,-51.71863,304.04,1,1,2026-05-21,00:28,T,58,6.1NRT,292.14,5.21,N
-16.1524,-51.72432,302.94,1,1,2026-05-21,00:28,T,52,6.1NRT,292.47,4.28,N
-14.89953,-47.75304,311.24,1.6,1.25,2026-05-21,00:28,T,82,6.1NRT,289.83,22.64,N
-11.30965,-54.71342,309.83,1.07,1.03,2026-05-21,00:30,T,78,6.1NRT,294.86,8.95,N
-11.43531,-55.10441,305.28,1.11,1.05,2026-05-21,00:30,T,64,6.1NRT,293.74,6.25,N
-10.43716,-47.94788,308.64,1.86,1.33,2026-05-21,00:30,T,53,6.1NRT,292.58,17.82,N
-10.44673,-47.95766,309.27,1.85,1.33,2026-05-21,00:30,T,77,6.1NRT,292.46,19.69,N
-14.2114,-54.60308,304.08,1.12,1.05,2026-05-21,00:30,T,58,6.1NRT,290.75,6.15,N
-13.02673,-49.9274,303.91,1.23,1.1,2026-05-21,00:30,T,45,6.1NRT,289.46,7.64,N
-13.02836,-49.93843,314.9,1.23,1.1,2026-05-21,00:30,T,90,6.1NRT,292.93,18.9,N
-13.02997,-49.94936,301.92,1.23,1.1,2026-05-21,00:30,T,21,6.1NRT,290.67,6.85,N
-11.99531,-47.76185,305.8,1.8,1.31,2026-05-21,00:30,T,66,6.1NRT,291.99,14.97,N
-11.83349,-47.09694,305.19,2.04,1.39,2026-05-21,00:30,T,63,6.1NRT,291.86,18.1,N
-11.97098,-52.46741,307.13,1.01,1,2026-05-21,00:30,T,70,6.1NRT,294.83,6.13,N
-12.54941,-57.21325,304.43,1.53,1.22,2026-05-21,00:30,T,36,6.1NRT,290.99,9.76,N
-12.54598,-57.22008,307.21,1.53,1.22,2026-05-21,00:30,T,71,6.1NRT,291.06,14.03,N
-11.07281,-48.27029,305.47,1.71,1.28,2026-05-21,00:30,T,64,6.1NRT,295.41,11.14,N
-11.91835,-54.10228,304.66,1.03,1.01,2026-05-21,00:30,T,61,6.1NRT,293.79,5.67,N
-11.47141,-52.91636,307.22,1,1,2026-05-21,00:30,T,64,6.1NRT,295,5.45,N
-11.46261,-52.91765,312.25,1,1,2026-05-21,00:30,T,84,6.1NRT,294.91,8.71,N
