latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
45.71917,47.52146,308.5,1.01,1,2026-03-12,00:37,A,75,6.1NRT,270.91,14.7,N
-24.63381,-54.48695,302.97,1.21,1.09,2026-03-12,00:39,T,11,6.1NRT,287.2,5.62,N
34.89757,43.80119,316.5,1.02,1.01,2026-03-12,00:39,A,93,6.1NRT,278.04,19.49,N
34.89603,43.81194,329.16,1.02,1.01,2026-03-12,00:39,A,100,6.1NRT,280.75,33.01,N
35.53144,44.34946,326.23,1.01,1,2026-03-12,00:39,A,100,6.1NRT,279,28.93,N
35.533,44.33875,332.47,1.01,1,2026-03-12,00:39,A,100,6.1NRT,280.58,36.95,N
35.63587,44.012,300.51,1.02,1.01,2026-03-12,00:39,A,29,6.1NRT,278.07,8.49,N
-27.41399,-57.46899,303.55,2.04,1.39,2026-03-12,00:39,T,56,6.1NRT,289.95,14.49,N
35.68953,43.88885,310.68,1.02,1.01,2026-03-12,00:39,A,81,6.1NRT,276.7,15.28,N
35.69107,43.87794,339.67,1.02,1.01,2026-03-12,00:39,A,100,6.1NRT,279.29,49.5,N
-12.98434,-54.67917,316.11,1.01,1,2026-03-12,00:41,T,93,6.1NRT,292.51,12.92,N
-12.98558,-54.68826,311.72,1.01,1,2026-03-12,00:41,T,83,6.1NRT,292.19,9.37,N
-1.63979,-54.49097,305.48,1.12,1.06,2026-03-12,00:45,T,64,6.1NRT,282.45,7.56,N
-1.86791,-54.6885,315.96,1.1,1.04,2026-03-12,00:45,T,92,6.1NRT,286.54,14.4,N
2.62312,-59.31239,303.16,1.1,1.05,2026-03-12,00:48,T,54,6.1NRT,286.41,4.36,N
3.27844,-60.03368,305.79,1.18,1.08,2026-03-12,00:48,T,66,6.1NRT,291.64,5.03,N
5.37731,-58.92307,300.94,1.02,1.01,2026-03-12,00:48,T,36,6.1NRT,288.97,3.94,N
6.02283,-58.25454,308.97,1,1,2026-03-12,00:48,T,76,6.1NRT,291.94,7.51,N
6.30494,-58.21416,302.5,1,1,2026-03-12,00:48,T,21,6.1NRT,291.54,3.11,N
8.7322,36.41127,310.39,1.11,1.05,2026-03-12,00:48,A,80,6.1NRT,288.42,12.69,N
