latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.39982,-155.27136,356.21,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,292.42,191.04,D
19.38279,-155.27255,337.38,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,292.22,4.77,D
19.38908,-155.27345,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,294.69,4.62,D
19.38841,-155.28003,343.87,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,297.26,11.05,D
19.38807,-155.28334,345.89,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,293.07,5.23,D
19.38774,-155.28667,349.86,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,293.95,5.23,D
19.3874,-155.28999,346.02,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,295.35,4.01,D
19.3936,-155.28078,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,294.13,11.05,D
19.39292,-155.28743,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,290.55,5.23,D
19.3946,-155.2709,340.2,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,294.89,4.62,D
19.39427,-155.27419,345.97,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,297.79,4.62,D
19.39257,-155.29077,344.77,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,296.13,4.01,D
19.39223,-155.29411,342.43,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,298.74,4.01,D
19.39189,-155.29742,343.15,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,291.77,5.31,D
19.39326,-155.28409,356.19,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,288.33,5.23,D
19.3988,-155.28128,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,295.36,137.07,D
19.39776,-155.29147,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,292.17,129.38,D
19.39948,-155.27466,353.6,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,292.08,191.04,D
19.39915,-155.27795,353.03,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,294.88,137.07,D
19.39846,-155.28465,355.67,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,295.81,315.72,D
19.39811,-155.28804,351.33,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,292.98,315.72,D
19.39741,-155.29489,350.14,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,298.03,129.38,D
19.39707,-155.29819,348.89,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,297.96,8.04,D
19.39673,-155.30144,341.91,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,292.88,8.04,D
19.40016,-155.26808,356.21,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,289.78,198.6,D
19.40259,-155.29556,367,0.35,0.56,2026-01-13,00:09,N20,high,2.0NRT,300.71,129.38,D
19.40225,-155.29892,338.86,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,298.91,8.04,D
19.40191,-155.30219,347.53,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,295.49,8.04,D
19.40504,-155.27174,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,360.37,191.04,D
19.40471,-155.27504,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,370.61,191.04,D
19.40402,-155.28169,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,364.49,137.07,D
19.40368,-155.28502,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,360.19,315.72,D
19.40332,-155.28848,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,374.4,315.72,D
19.40296,-155.29204,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,331.99,129.38,D
19.40776,-155.2964,367,0.35,0.56,2026-01-13,00:09,N20,high,2.0NRT,295.29,23.15,D
19.40886,-155.2858,350.42,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,307.15,124.61,D
19.40812,-155.29288,350.68,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,294.8,23.15,D
19.40742,-155.29968,352.41,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,292.86,8.23,D
19.40709,-155.30295,342.55,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,295.67,8.23,D
19.40676,-155.30614,339.07,0.35,0.56,2026-01-13,00:09,N20,nominal,2.0NRT,291.88,6.41,D
19.41025,-155.27229,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,378.63,389.67,D
19.40991,-155.27563,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,377.62,389.67,D
19.40956,-155.27898,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,378.62,0,D
19.40921,-155.28236,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,361.52,0,D
19.41511,-155.27623,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,327.42,389.67,D
19.41365,-155.2903,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,296.02,124.61,D
19.4158,-155.26952,350.76,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,290.09,393.5,D
19.41546,-155.27284,352.18,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,294.92,389.67,D
19.41328,-155.29384,354.48,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,289.48,23.15,D
19.41475,-155.27966,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,374.32,0,D
19.41438,-155.28322,367,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,375.19,0,D
19.41953,-155.28432,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,291.1,21.93,D
19.41915,-155.28801,367,0.35,0.57,2026-01-13,00:09,N20,high,2.0NRT,291.49,7.38,D
19.421,-155.27014,347.45,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,288.36,107.86,D
19.42066,-155.27348,343.86,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,288.4,28.67,D
19.4203,-155.27689,344.27,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,288.06,28.67,D
19.41993,-155.28047,354.82,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,290.81,21.93,D
19.41879,-155.29143,338.65,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,292.4,7.38,D
19.41844,-155.29477,337.34,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,288.59,5.4,D
19.42262,-155.25461,356.4,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,279.61,22.39,D
19.42779,-155.25555,346.62,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,283.14,22.39,D
19.42747,-155.25861,343.95,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,284.85,22.39,D
19.4243,-155.28899,340.91,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,290.31,7.38,D
19.42581,-155.27455,356.33,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,287.99,28.67,D
19.42544,-155.27806,356.32,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,285.89,28.67,D
19.42506,-155.28168,356.33,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,286.49,21.93,D
19.43442,-155.24251,333.1,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,286.93,6.36,D
19.43298,-155.2563,344.67,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,285.01,6.54,D
19.43264,-155.25952,350.73,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,285.07,6.54,D
19.43231,-155.26271,350.53,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,283.88,8.74,D
19.43094,-155.2758,342.38,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,286.27,8.51,D
19.42984,-155.28629,348.37,0.35,0.57,2026-01-13,00:09,N20,nominal,2.0NRT,285.47,7.79,D
19.43198,-155.2659,356.5,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,283.38,8.74,D
19.4313,-155.27235,356.5,0.35,0.57,2026-01-13,00:09,N20,low,2.0NRT,283.07,17.83,D
66.20213,70.9955,333.4,0.57,0.69,2026-01-13,00:34,N20,nominal,2.0NRT,236.03,3.38,N
66.05319,77.00034,322.08,0.7,0.75,2026-01-13,00:34,N20,nominal,2.0NRT,235.9,3.32,N
66.20054,77.23108,330.85,0.69,0.74,2026-01-13,00:34,N20,nominal,2.0NRT,233.38,4.36,N
66.19948,77.24543,325.05,0.69,0.74,2026-01-13,00:34,N20,nominal,2.0NRT,234.2,4.7,N
67.01205,77.56154,328.29,0.62,0.71,2026-01-13,00:34,N20,nominal,2.0NRT,235.93,3.71,N
68.58718,58.04514,331.07,0.51,0.5,2026-01-13,00:34,N20,nominal,2.0NRT,246.96,3.85,N
68.61671,57.96584,334.29,0.51,0.49,2026-01-13,00:34,N20,nominal,2.0NRT,250.02,4.27,N
68.58611,58.05155,330,0.51,0.5,2026-01-13,00:34,N20,nominal,2.0NRT,247.41,2.55,N
68.61922,57.96398,320.37,0.51,0.49,2026-01-13,00:34,N20,nominal,2.0NRT,249.1,4.9,N
66.2016,70.98749,351.72,0.57,0.69,2026-01-13,00:34,N20,nominal,2.0NRT,237.61,8.03,N
66.19879,70.98195,320.78,0.57,0.69,2026-01-13,00:34,N20,nominal,2.0NRT,233.57,3.38,N
62.37794,53.77507,320.79,0.43,0.62,2026-01-13,00:37,N20,nominal,2.0NRT,243.23,2.12,N
51.04248,2.29011,307.55,0.62,0.72,2026-01-13,00:41,N20,nominal,2.0NRT,277.48,3.2,N
48.60645,21.18067,326.7,0.38,0.36,2026-01-13,00:41,N20,nominal,2.0NRT,250.87,2.28,N
45.25989,31.67497,328.86,0.33,0.55,2026-01-13,00:41,N20,nominal,2.0NRT,277.66,3.18,N
45.26096,31.67107,338.54,0.33,0.55,2026-01-13,00:41,N20,nominal,2.0NRT,264.14,3.18,N
37.56873,32.85319,322.74,0.62,0.72,2026-01-13,00:43,N20,nominal,2.0NRT,253.92,5.18,N
37.56856,32.85304,330.04,0.62,0.72,2026-01-13,00:43,N20,nominal,2.0NRT,254.99,6.68,N
39.8676,26.24324,299.38,0.49,0.49,2026-01-13,00:43,N20,nominal,2.0NRT,272.81,1.14,N
40.6815,22.8522,322.47,0.5,0.41,2026-01-13,00:43,N20,nominal,2.0NRT,268.8,1.92,N
41.50184,19.74531,295.41,0.4,0.37,2026-01-13,00:43,N20,nominal,2.0NRT,272.68,0.53,N
42.71507,24.16905,329.24,0.52,0.41,2026-01-13,00:43,N20,nominal,2.0NRT,266.25,4.33,N
38.7516,26.93577,299.23,0.57,0.52,2026-01-13,00:43,N20,nominal,2.0NRT,273.08,2.17,N
38.74392,26.94655,303.97,0.57,0.52,2026-01-13,00:43,N20,nominal,2.0NRT,272.93,1.84,N
31.36852,30.32819,319.73,0.67,0.74,2026-01-13,00:45,N20,nominal,2.0NRT,281.01,2.82,N
