latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-26.03028,29.20414,321.79,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,278.92,3.42,N
-25.92963,28.32718,297.36,0.43,0.62,2026-08-15,00:01,N21,nominal,2.0NRT,276.56,1.08,N
-25.90409,29.16311,303.75,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,280.1,2.4,N
-25.85625,29.17279,335.33,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,280.7,8.6,N
-25.8601,29.17208,339.74,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,280.7,6.13,N
-25.81009,29.49608,321.07,0.51,0.66,2026-08-15,00:01,N21,nominal,2.0NRT,276.13,4.59,N
-25.80395,29.49662,307.92,0.51,0.66,2026-08-15,00:01,N21,nominal,2.0NRT,275.18,2.57,N
-25.80361,29.49178,303.09,0.51,0.66,2026-08-15,00:01,N21,nominal,2.0NRT,278.11,2.57,N
-25.57573,27.58287,313.29,0.38,0.59,2026-08-15,00:01,N21,nominal,2.0NRT,280,1.51,N
-27.05336,22.36899,318.34,0.39,0.44,2026-08-15,00:01,N21,nominal,2.0NRT,281.16,0.14,N
-26.83072,27.84439,298.66,0.41,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,278.91,1.35,N
-26.82479,27.84076,301.28,0.41,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,282.21,1.5,N
-26.80325,27.85588,296.85,0.41,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,280.51,2.42,N
-26.82681,27.84146,296.6,0.41,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,280.9,1.2,N
-26.80536,27.85649,304.7,0.41,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,283.14,2.06,N
-26.69009,27.94668,295.24,0.42,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,277.99,0.85,N
-26.67914,27.95223,301.45,0.42,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,276.7,1.65,N
-26.66786,27.80945,308.26,0.41,0.61,2026-08-15,00:01,N21,nominal,2.0NRT,277.97,2.03,N
-25.15565,16.60995,296.23,0.39,0.36,2026-08-15,00:01,N21,nominal,2.0NRT,280.2,0.16,N
-26.5582,29.15322,295.91,0.5,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,282.74,2,N
-26.55284,29.16379,296.95,0.5,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,278.36,2.12,N
-26.55179,29.14887,298.63,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,280.35,3.14,N
-26.54038,29.16011,298.38,0.5,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,272.61,3.73,N
-26.54004,29.15516,339.43,0.5,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,276.96,3.73,N
-26.06808,29.28957,295.06,0.5,0.66,2026-08-15,00:01,N21,nominal,2.0NRT,275.28,0.8,N
-26.03633,29.20365,307.87,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,281.82,2.84,N
-26.03065,29.2092,309.27,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,281.27,3.42,N
-26.02849,29.17936,299.18,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,281.03,2.27,N
-26.02815,29.17458,309.09,0.49,0.65,2026-08-15,00:01,N21,nominal,2.0NRT,282.65,2.27,N
54.60997,160.29247,367,0.59,0.53,2026-08-15,01:00,N21,high,2.0NRT,302.75,35.85,D
54.61618,160.31516,346.65,0.59,0.53,2026-08-15,01:00,N21,nominal,2.0NRT,308.62,28.15,D
68.3921,83.59212,343.96,0.67,0.74,2026-08-15,01:09,N21,nominal,2.0NRT,286.4,10.34,D
68.41262,83.62928,335.38,0.67,0.74,2026-08-15,01:09,N21,nominal,2.0NRT,285.7,6.63,D
68.41293,83.61916,342.4,0.67,0.74,2026-08-15,01:09,N21,nominal,2.0NRT,285.92,7.98,D
67.54198,83.2054,344.88,0.77,0.77,2026-08-15,01:09,N21,nominal,2.0NRT,284.87,46.73,D
67.54878,83.20191,367,0.77,0.77,2026-08-15,01:09,N21,high,2.0NRT,290.89,46.73,D
