latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1.49454,127.63547,319.14,1.07,1.03,2025-12-08,00:43,T,71,6.1NRT,287.99,16.24,D
-3.9082,122.41634,305.84,1.19,1.08,2025-12-08,00:45,T,27,6.1NRT,281.18,3.3,D
-3.8765,122.3996,310.51,1.19,1.09,2025-12-08,00:45,T,24,6.1NRT,284.8,6.54,D
-14.09542,127.3841,326.88,1.6,1.24,2025-12-08,00:47,T,68,6.1NRT,299.03,25.2,D
-17.87926,125.06779,330.05,1.26,1.11,2025-12-08,00:49,T,71,6.1NRT,307.48,17.77,D
-17.62961,125.02043,337.69,1.24,1.11,2025-12-08,00:49,T,80,6.1NRT,309.07,30.71,D
-17.62816,125.009,328.75,1.24,1.11,2025-12-08,00:49,T,34,6.1NRT,308.45,13.02,D
-17.37626,124.70406,334.85,1.19,1.08,2025-12-08,00:49,T,81,6.1NRT,304.59,24.19,D
-17.37487,124.69316,338.4,1.18,1.08,2025-12-08,00:49,T,85,6.1NRT,305.59,31.22,D
-17.36243,124.59572,326.11,1.17,1.08,2025-12-08,00:49,T,58,6.1NRT,306.5,9.75,D
-17.37289,124.7104,325.64,1.19,1.08,2025-12-08,00:49,T,56,6.1NRT,303.69,9.56,D
-17.37145,124.69952,357.15,1.18,1.08,2025-12-08,00:49,T,98,6.1NRT,306.53,79.21,D
-17.33703,124.66003,330.65,1.18,1.08,2025-12-08,00:49,T,56,6.1NRT,306.33,13.25,D
-17.33562,124.64922,331.42,1.18,1.08,2025-12-08,00:49,T,59,6.1NRT,307.39,13.65,D
-17.3342,124.63841,336.73,1.17,1.08,2025-12-08,00:49,T,82,6.1NRT,307.83,22.91,D
-17.33278,124.62762,332.17,1.17,1.08,2025-12-08,00:49,T,56,6.1NRT,306.94,14.55,D
-17.93515,125.101,329.29,1.26,1.12,2025-12-08,00:49,T,67,6.1NRT,306.01,16.48,D
-15.62915,124.80664,321.88,1.15,1.07,2025-12-08,00:49,T,40,6.1NRT,294.18,11.01,D
-14.58533,125.54867,327.27,1.23,1.1,2025-12-08,00:49,T,80,6.1NRT,274.41,27.78,D
-14.5839,125.53768,322.24,1.22,1.1,2025-12-08,00:49,T,75,6.1NRT,275.44,20.35,D
-17.90405,125.09326,348.24,1.26,1.12,2025-12-08,00:49,T,92,6.1NRT,305.57,60.32,D
-17.92527,125.10229,326.43,1.26,1.12,2025-12-08,00:49,T,60,6.1NRT,305.47,12.72,D
-17.92675,125.11404,331.82,1.27,1.12,2025-12-08,00:49,T,74,6.1NRT,305.29,22.82,D
-15.75448,124.9483,319.01,1.17,1.08,2025-12-08,00:49,T,62,6.1NRT,293.97,9.56,D
-17.89272,125.08298,334.68,1.26,1.12,2025-12-08,00:49,T,78,6.1NRT,307.55,27.32,D
-17.89128,125.0714,327.42,1.26,1.11,2025-12-08,00:49,T,39,6.1NRT,307.95,12.56,D
-17.88142,125.07272,328.03,1.26,1.11,2025-12-08,00:49,T,36,6.1NRT,307.63,13.72,D
