latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
66.66088,80.46178,338.83,0.67,0.74,2026-02-02,00:39,N,nominal,2.0NRT,237.19,4.81,N
66.25024,76.82117,367,0.65,0.73,2026-02-02,00:39,N,high,2.0NRT,240.34,13.35,N
66.24523,76.81522,350.55,0.65,0.73,2026-02-02,00:39,N,nominal,2.0NRT,236.91,9.9,N
66.99864,76.36656,320.98,0.58,0.7,2026-02-02,00:39,N,nominal,2.0NRT,236.28,1.97,N
66.66682,80.45546,346.38,0.67,0.74,2026-02-02,00:39,N,nominal,2.0NRT,238.84,12.34,N
68.41348,83.6239,340.52,0.56,0.69,2026-02-02,00:39,N,nominal,2.0NRT,237.37,6.85,N
68.41501,83.61858,346.93,0.56,0.69,2026-02-02,00:39,N,nominal,2.0NRT,236.43,6.47,N
67.55167,83.20074,346.72,0.63,0.72,2026-02-02,00:39,N,nominal,2.0NRT,238.16,22.39,N
67.54616,83.20596,353.11,0.63,0.72,2026-02-02,00:39,N,nominal,2.0NRT,239.4,20.15,N
67.54965,83.21333,367,0.63,0.72,2026-02-02,00:39,N,high,2.0NRT,251.68,35.55,N
67.2794,83.02907,336.42,0.65,0.73,2026-02-02,00:39,N,nominal,2.0NRT,232.32,4.84,N
67.19524,81.98779,324.02,0.64,0.72,2026-02-02,00:39,N,nominal,2.0NRT,235.02,2.6,N
67.71069,81.24826,344.4,0.59,0.7,2026-02-02,00:39,N,nominal,2.0NRT,237.28,4.88,N
67.7109,81.25105,344.49,0.59,0.7,2026-02-02,00:39,N,nominal,2.0NRT,238.16,4.76,N
68.52405,79.95364,367,0.51,0.66,2026-02-02,00:39,N,high,2.0NRT,242.69,8.24,N
66.92344,80.77983,329.89,0.65,0.73,2026-02-02,00:39,N,nominal,2.0NRT,235.89,7.25,N
65.82558,76.86486,320.08,0.69,0.74,2026-02-02,00:39,N,nominal,2.0NRT,237.14,3.36,N
65.85909,76.95837,320.49,0.69,0.74,2026-02-02,00:39,N,nominal,2.0NRT,235.3,3.03,N
64.64494,24.42681,327.82,0.44,0.38,2026-02-02,00:41,N,nominal,2.0NRT,256.99,4.54,N
65.04562,56.67109,322.5,0.36,0.57,2026-02-02,00:41,N,nominal,2.0NRT,238.4,2.52,N
66.19964,70.99534,350.11,0.55,0.68,2026-02-02,00:41,N,nominal,2.0NRT,244.7,8.43,N
65.04176,56.66224,345.15,0.36,0.57,2026-02-02,00:41,N,nominal,2.0NRT,238.94,2.52,N
59.38351,28.46184,321.88,0.39,0.36,2026-02-02,00:43,N,nominal,2.0NRT,260.11,1.91,N
52.53372,39.63008,367,0.4,0.6,2026-02-02,00:43,N,high,2.0NRT,252.52,7.53,N
52.55721,39.61646,320.16,0.4,0.6,2026-02-02,00:43,N,nominal,2.0NRT,251.45,3.68,N
54.13285,37.54885,325.49,0.59,0.53,2026-02-02,00:43,N,nominal,2.0NRT,246.69,4.21,N
54.16983,37.71271,336.07,0.59,0.53,2026-02-02,00:43,N,nominal,2.0NRT,251.63,15.86,N
51.89462,29.33993,325.94,0.52,0.42,2026-02-02,00:45,N,nominal,2.0NRT,253.33,5.68,N
48.46151,38.77372,320.9,0.51,0.66,2026-02-02,00:45,N,nominal,2.0NRT,253.91,2.34,N
45.45971,10.45817,316.48,0.48,0.48,2026-02-02,00:47,N,nominal,2.0NRT,273.64,2.03,N
36.88189,6.95668,306.2,0.59,0.53,2026-02-02,00:49,N,nominal,2.0NRT,279.18,1.26,N
36.878,6.94249,328.94,0.6,0.53,2026-02-02,00:49,N,nominal,2.0NRT,280.48,3.53,N
36.86996,6.98333,306.36,0.59,0.53,2026-02-02,00:49,N,nominal,2.0NRT,279.73,1.15,N
36.74824,6.25404,318.53,0.32,0.55,2026-02-02,00:49,N,nominal,2.0NRT,279.84,1.36,N
36.6806,3.12227,296.03,0.48,0.65,2026-02-02,00:49,N,nominal,2.0NRT,280.82,1.41,N
42.56996,12.67498,298.04,0.53,0.42,2026-02-02,00:49,N,nominal,2.0NRT,274.6,1.21,N
42.56997,12.6756,302.14,0.53,0.42,2026-02-02,00:49,N,nominal,2.0NRT,274.59,1.05,N
39.21403,8.40385,297.97,0.52,0.5,2026-02-02,00:49,N,nominal,2.0NRT,281.42,0.9,N
40.5177,17.20588,298.68,0.39,0.36,2026-02-02,00:49,N,nominal,2.0NRT,257.04,0.64,N
39.07945,9.01968,297.31,0.49,0.48,2026-02-02,00:49,N,nominal,2.0NRT,284.42,1.42,N
37.21122,15.1706,300.01,0.4,0.37,2026-02-02,00:49,N,nominal,2.0NRT,285.24,1.17,N
28.90525,19.77223,315.8,0.57,0.43,2026-02-02,00:52,N,nominal,2.0NRT,282.64,2.19,N
31.39745,6.93452,302.48,0.52,0.5,2026-02-02,00:52,N,nominal,2.0NRT,278.22,1,N
31.3923,6.93945,307.46,0.52,0.5,2026-02-02,00:52,N,nominal,2.0NRT,278.97,1,N
31.40606,5.97658,311.41,0.59,0.53,2026-02-02,00:52,N,nominal,2.0NRT,278.57,1.23,N
31.40435,5.97459,301.71,0.59,0.53,2026-02-02,00:52,N,nominal,2.0NRT,278,2.14,N
31.17746,8.10601,304.54,0.44,0.46,2026-02-02,00:52,N,nominal,2.0NRT,277.61,0.72,N
28.75986,22.79946,317.94,0.56,0.52,2026-02-02,00:52,N,nominal,2.0NRT,282.55,1.56,N
31.36336,6.04599,338.18,0.59,0.53,2026-02-02,00:52,N,nominal,2.0NRT,279.33,10.73,N
31.35793,6.05164,307.84,0.59,0.52,2026-02-02,00:52,N,nominal,2.0NRT,277,3.62,N
28.82129,22.2596,306.03,0.52,0.5,2026-02-02,00:52,N,nominal,2.0NRT,280.58,1.04,N
28.83663,22.12582,340.09,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,283.92,7.44,N
28.83549,22.13096,338.88,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,283.19,5.77,N
28.83101,22.12969,338.71,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,282,5.77,N
28.83215,22.12457,307.17,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,280.83,7.44,N
28.83684,22.12466,321.88,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,281.62,9.47,N
28.83573,22.12981,342.57,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,285.32,9.47,N
28.83125,22.12853,335.1,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,282.13,2.61,N
28.83236,22.1234,297.46,0.51,0.49,2026-02-02,00:52,N,nominal,2.0NRT,280.67,2.61,N
28.92648,21.50855,327,0.47,0.48,2026-02-02,00:52,N,nominal,2.0NRT,283.67,2.82,N
31.18998,6.78566,307.97,0.53,0.5,2026-02-02,00:52,N,nominal,2.0NRT,278.59,1.68,N
31.18945,6.79127,297.24,0.53,0.5,2026-02-02,00:52,N,nominal,2.0NRT,278.04,1.11,N
28.92749,21.50379,312,0.47,0.48,2026-02-02,00:52,N,nominal,2.0NRT,283.16,3.15,N
31.05679,8.03441,316.93,0.45,0.47,2026-02-02,00:52,N,nominal,2.0NRT,278.47,1.44,N
29.05663,20.78333,334.37,0.42,0.46,2026-02-02,00:52,N,nominal,2.0NRT,283.36,2.42,N
29.04334,20.78428,299.51,0.42,0.46,2026-02-02,00:52,N,nominal,2.0NRT,282.17,1.44,N
29.03831,20.78749,334.84,0.42,0.46,2026-02-02,00:52,N,nominal,2.0NRT,283.64,1.44,N
28.69578,22.37504,336.35,0.53,0.5,2026-02-02,00:52,N,nominal,2.0NRT,282.44,5.38,N
31.01312,8.16135,297.25,0.44,0.46,2026-02-02,00:52,N,nominal,2.0NRT,276.81,1.07,N
29.03921,20.78317,299.69,0.42,0.46,2026-02-02,00:52,N,nominal,2.0NRT,281.66,1.44,N
28.69122,22.37376,298.69,0.53,0.5,2026-02-02,00:52,N,nominal,2.0NRT,280.36,1.13,N
29.23263,19.69838,342.92,0.55,0.43,2026-02-02,00:52,N,nominal,2.0NRT,282.42,11.61,N
