latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.41331,-155.29077,333.27,0.35,0.57,2026-09-18,00:09,N21,nominal,2.0NRT,288.56,5.51,D
19.40816,-155.28973,347.08,0.35,0.57,2026-09-18,00:09,N21,nominal,2.0NRT,294.25,5.51,D
54.61541,160.2989,367,0.62,0.72,2026-09-18,00:22,N21,high,2.0NRT,296.78,56.18,D
54.61361,160.29439,355.51,0.62,0.72,2026-09-18,00:22,N21,low,2.0NRT,284.13,35.77,D
67.79958,72.50536,333.84,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,298.47,106.01,N
67.8071,72.49352,298.31,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,278.24,47.98,N
67.79581,72.51126,313.44,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,276.81,106.01,N
66.19868,70.98477,330.12,0.57,0.69,2026-09-18,00:35,N21,nominal,2.0NRT,276.41,6.01,N
69.26572,57.28836,327.44,0.47,0.47,2026-09-18,00:35,N21,nominal,2.0NRT,281.32,4.3,N
69.26558,57.28407,337.62,0.47,0.47,2026-09-18,00:35,N21,nominal,2.0NRT,281.67,4.48,N
68.61358,57.96205,317.45,0.51,0.5,2026-09-18,00:35,N21,nominal,2.0NRT,273.92,2.51,N
68.6405,57.69002,314.39,0.51,0.49,2026-09-18,00:35,N21,nominal,2.0NRT,275.14,1.99,N
67.83942,58.93113,330.56,0.59,0.53,2026-09-18,00:35,N21,nominal,2.0NRT,275.08,5.24,N
67.17831,56.63171,322.22,0.57,0.52,2026-09-18,00:35,N21,nominal,2.0NRT,272.63,3.31,N
67.80632,72.51321,367,0.48,0.65,2026-09-18,00:35,N21,high,2.0NRT,297.17,47.98,N
66.42038,58.04275,324.46,0.33,0.56,2026-09-18,00:35,N21,nominal,2.0NRT,274.26,1.63,N
67.18201,56.62197,299.08,0.57,0.52,2026-09-18,00:35,N21,nominal,2.0NRT,272.01,3.09,N
67.79887,72.52492,327.31,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,277.29,106.01,N
67.81013,72.50722,303.24,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,279.07,47.98,N
67.80334,72.49944,367,0.48,0.65,2026-09-18,00:35,N21,high,2.0NRT,289.02,47.98,N
66.952,75.53696,339.7,0.59,0.7,2026-09-18,00:35,N21,nominal,2.0NRT,279.54,51.47,N
66.90385,75.60144,367,0.6,0.71,2026-09-18,00:35,N21,high,2.0NRT,277.39,20.68,N
66.90867,75.59499,308.64,0.6,0.7,2026-09-18,00:35,N21,nominal,2.0NRT,273.97,11.79,N
66.9659,75.42444,304.88,0.59,0.7,2026-09-18,00:35,N21,nominal,2.0NRT,275.71,2.35,N
67.80902,72.52225,327.71,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,280.64,28.34,N
67.80524,72.52808,367,0.48,0.65,2026-09-18,00:35,N21,high,2.0NRT,290.34,48.21,N
67.80146,72.53394,330.64,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,277.41,48.21,N
67.80592,72.50864,367,0.48,0.65,2026-09-18,00:35,N21,high,2.0NRT,297.95,44.77,N
67.79845,72.5202,333.38,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,277.81,82.25,N
67.80975,72.50272,302.98,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,279.06,44.77,N
67.79916,72.50075,367,0.48,0.65,2026-09-18,00:35,N21,high,2.0NRT,286.31,82.25,N
67.80293,72.4949,312.79,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,280.1,44.77,N
67.79538,72.50657,304.26,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,276.64,82.25,N
67.8056,72.53281,321.71,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,278.07,5.31,N
67.80937,72.52687,317.91,0.48,0.65,2026-09-18,00:35,N21,nominal,2.0NRT,279.23,4.59,N
70.99832,73.84546,314.87,0.63,0.54,2026-09-18,00:35,N21,nominal,2.0NRT,275.43,4.22,N
71.68323,71.57153,350.93,0.54,0.51,2026-09-18,00:35,N21,nominal,2.0NRT,279.34,12.54,N
71.68386,71.57604,352.98,0.54,0.51,2026-09-18,00:35,N21,nominal,2.0NRT,279.23,12.94,N
71.25831,72.06604,324.78,0.58,0.52,2026-09-18,00:35,N21,nominal,2.0NRT,277.86,3.57,N
