latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
58.42619,57.73321,320.03,0.46,0.63,2026-01-15,00:00,N20,nominal,2.0NRT,239.44,1.71,N
57.94608,60.05399,353.01,0.56,0.69,2026-01-15,00:00,N20,nominal,2.0NRT,245.31,8.23,N
57.94703,60.06038,330.59,0.56,0.69,2026-01-15,00:00,N20,nominal,2.0NRT,243.06,4.41,N
52.53642,39.62685,328.44,0.54,0.42,2026-01-15,00:02,N20,nominal,2.0NRT,258.78,15.32,N
52.5347,39.63435,325.67,0.54,0.42,2026-01-15,00:02,N20,nominal,2.0NRT,259.15,12.24,N
54.13443,37.5517,321.46,0.44,0.38,2026-01-15,00:02,N20,nominal,2.0NRT,251.57,3.16,N
41.03101,16.82211,295.86,0.63,0.54,2026-01-15,00:05,N20,nominal,2.0NRT,277.32,0.64,N
36.94277,42.17133,312.03,0.63,0.72,2026-01-15,00:05,N20,nominal,2.0NRT,271.05,2.19,N
40.70539,22.81581,296.9,0.48,0.4,2026-01-15,00:05,N20,nominal,2.0NRT,274.8,0.91,N
37.29332,37.15678,299.26,0.34,0.56,2026-01-15,00:07,N20,nominal,2.0NRT,271.72,1.22,N
37.29541,37.15559,299.56,0.34,0.56,2026-01-15,00:07,N20,nominal,2.0NRT,270.04,1.23,N
39.18173,27.49925,301.94,0.39,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,273.94,0.79,N
36.14286,40.81666,316.77,0.57,0.69,2026-01-15,00:07,N20,nominal,2.0NRT,270.2,1.4,N
39.11228,27.52632,295.5,0.39,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,274.76,0.47,N
39.09407,27.51219,295.49,0.39,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,275.38,1.01,N
38.74492,26.94749,305.31,0.38,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,275.31,0.71,N
38.7407,26.92987,312.05,0.38,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,277.36,1.42,N
38.73743,26.92902,303,0.38,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,276.93,0.67,N
38.73183,26.96397,295.9,0.38,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,274.44,0.43,N
36.73054,36.20951,301.08,0.62,0.54,2026-01-15,00:07,N20,nominal,2.0NRT,278.67,2.48,N
38.42813,27.21577,297.9,0.39,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,276.2,0.59,N
36.81279,35.05166,296.56,0.54,0.51,2026-01-15,00:07,N20,nominal,2.0NRT,273.2,0.62,N
36.87131,34.76202,295.63,0.52,0.5,2026-01-15,00:07,N20,nominal,2.0NRT,275.1,0.94,N
38.58135,23.83533,309.9,0.42,0.38,2026-01-15,00:07,N20,nominal,2.0NRT,276.55,1.09,N
34.91202,40.82285,304.22,0.61,0.71,2026-01-15,00:07,N20,nominal,2.0NRT,270.14,1.86,N
34.91008,40.82689,309.48,0.61,0.71,2026-01-15,00:07,N20,nominal,2.0NRT,270.12,1.33,N
37.77298,27.43669,295.95,0.39,0.36,2026-01-15,00:07,N20,nominal,2.0NRT,277.94,0.7,N
38.13089,23.52331,305.26,0.43,0.38,2026-01-15,00:07,N20,nominal,2.0NRT,279.87,1.14,N
38.79453,15.19623,295.67,0.36,0.58,2026-01-15,00:07,N20,nominal,2.0NRT,277.33,0.65,N
38.79396,15.20607,301.3,0.36,0.58,2026-01-15,00:07,N20,nominal,2.0NRT,276.86,0.65,N
38.02914,13.55265,319.38,0.44,0.63,2026-01-15,00:07,N20,nominal,2.0NRT,278.52,2.57,N
38.01181,13.54977,309.82,0.44,0.63,2026-01-15,00:07,N20,nominal,2.0NRT,277.12,0.97,N
37.75034,15.03748,300.49,0.37,0.58,2026-01-15,00:07,N20,nominal,2.0NRT,281.59,1.94,N
31.69387,40.00693,296.31,0.68,0.74,2026-01-15,00:07,N20,nominal,2.0NRT,270.15,2.1,N
31.69188,40.01371,309.8,0.68,0.74,2026-01-15,00:07,N20,nominal,2.0NRT,272.58,2.1,N
31.68904,40.01263,306.68,0.68,0.74,2026-01-15,00:07,N20,nominal,2.0NRT,270.96,2.54,N
32.89047,35.09221,309.97,0.33,0.56,2026-01-15,00:07,N20,nominal,2.0NRT,280.09,0.98,N
33.9212,12.67247,338.17,0.46,0.63,2026-01-15,00:07,N20,nominal,2.0NRT,287.04,2.39,N
33.92537,12.67362,344.42,0.46,0.64,2026-01-15,00:07,N20,nominal,2.0NRT,287.66,3.79,N
33.92091,12.67752,301.81,0.46,0.63,2026-01-15,00:07,N20,nominal,2.0NRT,286.68,2.39,N
33.89571,12.59892,332.68,0.46,0.64,2026-01-15,00:07,N20,nominal,2.0NRT,287.09,2.14,N
33.89544,12.60401,303.96,0.46,0.64,2026-01-15,00:07,N20,nominal,2.0NRT,286.9,2.14,N
33.86363,12.04959,308.48,0.5,0.66,2026-01-15,00:07,N20,nominal,2.0NRT,285.83,1.99,N
33.86337,12.05508,318.42,0.5,0.66,2026-01-15,00:07,N20,nominal,2.0NRT,287.08,2.4,N
33.8626,12.05285,335.07,0.5,0.66,2026-01-15,00:07,N20,nominal,2.0NRT,287.77,3.07,N
44.34921,26.18752,303.42,0.41,0.37,2026-01-15,00:07,N20,nominal,2.0NRT,266.37,0.58,N
37.35201,37.16054,298.53,0.34,0.56,2026-01-15,00:07,N20,nominal,2.0NRT,269.92,0.95,N
