latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
68.52507,79.95487,346.63,0.59,0.7,2026-01-09,00:58,N21,nominal,2.0NRT,253.06,8.1,N
68.527,79.95811,326.01,0.59,0.7,2026-01-09,00:58,N21,nominal,2.0NRT,250.22,7.41,N
66.19731,70.98792,347.53,0.69,0.74,2026-01-09,00:58,N21,nominal,2.0NRT,247.64,12.97,N
70.39352,68.30885,322.95,0.35,0.57,2026-01-09,00:58,N21,nominal,2.0NRT,259.34,4.18,N
70.39632,68.30435,340.52,0.35,0.57,2026-01-09,00:58,N21,nominal,2.0NRT,260.78,4.18,N
71.16701,67.00951,335.52,0.61,0.53,2026-01-09,00:58,N21,nominal,2.0NRT,259.5,10.6,N
71.18872,67.09461,335.34,0.61,0.53,2026-01-09,00:58,N21,nominal,2.0NRT,258.2,9.42,N
65.56396,22.22362,325.64,0.4,0.37,2026-01-09,01:02,N21,nominal,2.0NRT,250.95,6.37,N
61.77452,43.66288,327.08,0.37,0.58,2026-01-09,01:02,N21,nominal,2.0NRT,253.87,2.37,N
59.12806,37.79033,367,0.32,0.55,2026-01-09,01:04,N21,high,2.0NRT,259.8,8.69,N
63.31594,9.14575,299.53,0.47,0.48,2026-01-09,01:04,N21,nominal,2.0NRT,267.49,1,N
52.17135,14.62631,326.9,0.39,0.36,2026-01-09,01:06,N21,nominal,2.0NRT,263.47,3.76,N
51.68787,15.97921,331.25,0.38,0.36,2026-01-09,01:06,N21,nominal,2.0NRT,265.33,4.37,N
51.17485,3.81497,296.12,0.57,0.52,2026-01-09,01:09,N21,nominal,2.0NRT,268.42,2.31,N
51.17527,3.80678,307.97,0.57,0.52,2026-01-09,01:09,N21,nominal,2.0NRT,269.5,2.31,N
50.54678,4.21003,298.49,0.54,0.51,2026-01-09,01:09,N21,nominal,2.0NRT,275.46,0.73,N
51.17532,3.80653,313.47,0.57,0.52,2026-01-09,01:09,N21,nominal,2.0NRT,270.63,3.49,N
51.17485,3.81472,302.3,0.57,0.52,2026-01-09,01:09,N21,nominal,2.0NRT,269.58,2.61,N
51.17054,3.80593,318.31,0.57,0.52,2026-01-09,01:09,N21,nominal,2.0NRT,275.79,4.77,N
51.16531,3.81342,315.15,0.57,0.52,2026-01-09,01:09,N21,nominal,2.0NRT,275.44,4.83,N
48.60667,21.18019,320.02,0.53,0.42,2026-01-09,01:09,N21,nominal,2.0NRT,263.85,4.56,N
30.87529,5.64318,336.25,0.43,0.38,2026-01-09,01:11,N21,nominal,2.0NRT,261.15,3.94,N
30.61173,7.05462,296.11,0.39,0.37,2026-01-09,01:11,N21,nominal,2.0NRT,272.9,0.99,N
28.05589,19.91062,317.91,0.48,0.64,2026-01-09,01:11,N21,nominal,2.0NRT,279.33,3.48,N
27.59267,21.62027,295.82,0.62,0.71,2026-01-09,01:11,N21,nominal,2.0NRT,280.2,1,N
