latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
68.52534,79.95756,337.09,0.46,0.64,2026-03-03,00:15,N20,nominal,2.0NRT,244.82,3.6,N
64.84474,78.38353,367,0.75,0.77,2026-03-03,00:15,N20,high,2.0NRT,236.24,12.14,N
68.52716,79.95594,322.26,0.46,0.64,2026-03-03,00:15,N20,nominal,2.0NRT,243.32,2.95,N
67.82101,80.11217,321.62,0.52,0.66,2026-03-03,00:15,N20,nominal,2.0NRT,244.2,2.23,N
66.24648,76.81776,322.92,0.58,0.7,2026-03-03,00:15,N20,nominal,2.0NRT,235.25,3.59,N
64.84172,78.38437,346.83,0.75,0.77,2026-03-03,00:15,N20,nominal,2.0NRT,239.32,13.14,N
67.55313,83.21493,356.26,0.58,0.7,2026-03-03,00:15,N20,nominal,2.0NRT,245.35,7.99,N
67.54832,83.2207,344.44,0.58,0.7,2026-03-03,00:15,N20,nominal,2.0NRT,245.6,7.99,N
67.5504,83.19955,321.78,0.58,0.7,2026-03-03,00:15,N20,nominal,2.0NRT,242.94,7.99,N
67.55174,83.21001,367,0.58,0.7,2026-03-03,00:15,N20,high,2.0NRT,246.78,16.3,N
67.54695,83.21587,348.28,0.58,0.7,2026-03-03,00:15,N20,nominal,2.0NRT,247.85,16.3,N
66.19735,70.98724,324.15,0.48,0.65,2026-03-03,00:15,N20,nominal,2.0NRT,235.38,4.31,N
68.6443,57.95286,331.23,0.42,0.45,2026-03-03,00:17,N20,nominal,2.0NRT,241.92,1.92,N
68.60067,57.98443,328.68,0.42,0.45,2026-03-03,00:17,N20,nominal,2.0NRT,246.2,3.01,N
65.04372,56.66282,335.02,0.58,0.52,2026-03-03,00:17,N20,nominal,2.0NRT,249.28,6.64,N
65.04223,56.66715,335.99,0.58,0.52,2026-03-03,00:17,N20,nominal,2.0NRT,249.47,4.49,N
68.61671,57.9693,333.7,0.42,0.45,2026-03-03,00:17,N20,nominal,2.0NRT,249.19,3.01,N
61.94797,68.46513,330.52,0.74,0.76,2026-03-03,00:17,N20,nominal,2.0NRT,240.07,4.77,N
53.52052,9.90312,297.46,0.48,0.65,2026-03-03,00:22,N20,nominal,2.0NRT,275.16,1.12,N
53.52657,9.89586,308.31,0.48,0.65,2026-03-03,00:22,N20,nominal,2.0NRT,275.7,1.35,N
50.14871,39.68333,306.56,0.32,0.55,2026-03-03,00:22,N20,nominal,2.0NRT,274.31,0.75,N
57.06116,9.97494,303.46,0.49,0.65,2026-03-03,00:22,N20,nominal,2.0NRT,265.89,1.07,N
50.33483,19.28708,302.72,0.55,0.42,2026-03-03,00:24,N20,nominal,2.0NRT,275.07,1.45,N
50.77278,19.1924,296.96,0.56,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,269.07,0.57,N
47.87866,35.18656,311.47,0.48,0.48,2026-03-03,00:24,N20,nominal,2.0NRT,265.62,1.59,N
47.87086,35.16182,304.91,0.48,0.48,2026-03-03,00:24,N20,nominal,2.0NRT,265.37,1.07,N
50.34199,19.3363,307.28,0.54,0.42,2026-03-03,00:24,N20,nominal,2.0NRT,277.83,2.63,N
50.33872,19.28803,301.19,0.55,0.42,2026-03-03,00:24,N20,nominal,2.0NRT,276.02,1.29,N
47.86918,33.44231,306.95,0.41,0.45,2026-03-03,00:24,N20,nominal,2.0NRT,266.37,1.43,N
47.84355,33.38619,300.19,0.41,0.45,2026-03-03,00:24,N20,nominal,2.0NRT,271.19,0.91,N
49.86038,18.27648,303.56,0.39,0.44,2026-03-03,00:24,N20,nominal,2.0NRT,276.61,0.97,N
48.97501,24.7087,311.84,0.39,0.36,2026-03-03,00:24,N20,nominal,2.0NRT,272.73,1.54,N
49.6911,18.65249,297.65,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,273.88,1.12,N
49.68316,18.65079,321.95,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,273.87,5.67,N
49.68173,18.66663,296.52,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,273.2,0.73,N
49.67847,18.65786,328.41,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,276.45,25.97,N
49.67776,18.66574,309.28,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,276.13,17.88,N
49.68135,18.65209,325.93,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,274.15,4.19,N
49.67985,18.66785,308.73,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,274.27,35.93,N
49.67662,18.65914,328.19,0.57,0.43,2026-03-03,00:24,N20,nominal,2.0NRT,272.94,5.55,N
48.61772,21.18846,297.1,0.45,0.39,2026-03-03,00:24,N20,nominal,2.0NRT,274.7,0.59,N
49.35828,6.74688,304.7,0.64,0.72,2026-03-03,00:24,N20,nominal,2.0NRT,278.32,1.94,N
49.24949,6.84187,313.02,0.63,0.72,2026-03-03,00:24,N20,nominal,2.0NRT,275.64,1.33,N
49.24279,6.84209,341.25,0.63,0.72,2026-03-03,00:24,N20,nominal,2.0NRT,275.55,6.09,N
49.24672,6.84302,345.44,0.63,0.72,2026-03-03,00:24,N20,nominal,2.0NRT,276.69,7.01,N
48.25642,20.35355,298.09,0.47,0.4,2026-03-03,00:24,N20,nominal,2.0NRT,272.12,0.78,N
48.28527,14.32697,311.98,0.57,0.52,2026-03-03,00:24,N20,nominal,2.0NRT,275.64,2.85,N
48.28003,14.33401,332.11,0.57,0.52,2026-03-03,00:24,N20,nominal,2.0NRT,278.53,2.85,N
48.27478,14.34104,334.72,0.56,0.52,2026-03-03,00:24,N20,nominal,2.0NRT,278.38,5.57,N
48.27572,14.32566,300.72,0.57,0.52,2026-03-03,00:24,N20,nominal,2.0NRT,277.92,2.99,N
48.27525,14.33337,312.4,0.57,0.52,2026-03-03,00:24,N20,nominal,2.0NRT,276.37,2.99,N
45.9506,25.28123,303.84,0.39,0.36,2026-03-03,00:24,N20,nominal,2.0NRT,272.31,0.86,N
48.68821,40.03822,304.11,0.37,0.58,2026-03-03,00:24,N20,nominal,2.0NRT,271.01,0.61,N
48.46343,38.7546,308.47,0.33,0.55,2026-03-03,00:24,N20,nominal,2.0NRT,276.08,0.94,N
52.21069,8.04259,301.32,0.57,0.69,2026-03-03,00:24,N20,nominal,2.0NRT,257.94,0.3,N
52.15835,10.40186,326,0.45,0.63,2026-03-03,00:24,N20,nominal,2.0NRT,266.38,2.54,N
52.15826,10.40859,310.26,0.45,0.63,2026-03-03,00:24,N20,nominal,2.0NRT,265.88,2.54,N
52.15258,10.39496,299.48,0.45,0.63,2026-03-03,00:24,N20,nominal,2.0NRT,261.06,1.11,N
52.1525,10.40165,306.34,0.45,0.63,2026-03-03,00:24,N20,nominal,2.0NRT,259.96,1.05,N
51.68858,15.97904,353.36,0.51,0.5,2026-03-03,00:24,N20,nominal,2.0NRT,274.29,16.74,N
51.68897,15.97945,352.36,0.51,0.5,2026-03-03,00:24,N20,nominal,2.0NRT,273.95,19.69,N
48.53474,34.64499,313.1,0.44,0.46,2026-03-03,00:24,N20,nominal,2.0NRT,274.01,1.82,N
48.52002,34.63036,295.68,0.44,0.46,2026-03-03,00:24,N20,nominal,2.0NRT,272.55,0.65,N
51.50352,6.72223,306.88,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,280.24,2.25,N
51.49694,6.73229,295.85,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,278.76,2.76,N
51.49019,6.73244,327.18,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,280,2.76,N
51.4829,6.70391,317.56,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,278.66,2.37,N
51.48308,6.7135,311.66,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,278.31,2.37,N
48.47448,34.62955,299.15,0.44,0.46,2026-03-03,00:24,N20,nominal,2.0NRT,273.51,1.36,N
51.46316,6.73303,302.28,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,277.23,1.47,N
51.46335,6.74268,300.13,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,277.77,1.52,N
51.50171,6.72411,306.91,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,281.03,4.56,N
51.49508,6.73418,327.42,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,280.97,5.4,N
51.48793,6.70567,321.38,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,280.37,4.84,N
51.48131,6.71542,314.57,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,277.27,4.54,N
51.46132,6.73512,310.23,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,277.1,2.7,N
51.36606,6.69935,317.09,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,279.58,3.25,N
51.36624,6.70895,316.76,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,280.81,3.25,N
51.3714,6.70432,313.16,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,281.58,3.19,N
51.36464,6.70463,322.48,0.65,0.73,2026-03-03,00:24,N20,nominal,2.0NRT,279.4,3.19,N
50.55569,22.05744,301.89,0.45,0.39,2026-03-03,00:24,N20,nominal,2.0NRT,271.38,0.68,N
40.49281,17.19482,295.04,0.52,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,284.29,0.83,N
40.50219,17.2153,297.18,0.52,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,282.61,1.38,N
36.69734,36.2058,301.22,0.56,0.69,2026-03-03,00:26,N20,nominal,2.0NRT,280.85,1.91,N
36.73049,36.20777,295.54,0.56,0.68,2026-03-03,00:26,N20,nominal,2.0NRT,279.49,1.26,N
38.75381,26.93356,301.56,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,275.88,0.99,N
38.75267,26.93915,300.3,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,277.02,0.99,N
38.74303,26.94803,318.22,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,278.2,1.43,N
38.73936,26.94683,299.34,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,278.81,1.43,N
38.75153,26.93804,305.87,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,277.43,1.19,N
38.74193,26.94696,305.77,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,277.57,1.29,N
40.6295,17.99793,301.6,0.48,0.4,2026-03-03,00:26,N20,nominal,2.0NRT,279.06,0.65,N
39.86616,26.24527,301.82,0.46,0.39,2026-03-03,00:26,N20,nominal,2.0NRT,264.79,1.13,N
41.17522,32.63237,302.24,0.55,0.51,2026-03-03,00:26,N20,nominal,2.0NRT,275.35,1.27,N
44.21777,17.8931,304.21,0.53,0.42,2026-03-03,00:26,N20,nominal,2.0NRT,269.52,1.44,N
44.0815,22.1046,295.46,0.4,0.37,2026-03-03,00:26,N20,nominal,2.0NRT,269.13,0.62,N
45.46049,10.45081,296.74,0.41,0.61,2026-03-03,00:26,N20,nominal,2.0NRT,276.69,1.4,N
44.77084,21.79891,304.22,0.4,0.37,2026-03-03,00:26,N20,nominal,2.0NRT,269.98,1.09,N
44.77489,21.7948,310.41,0.4,0.37,2026-03-03,00:26,N20,nominal,2.0NRT,269.92,1.92,N
45.06081,20.48375,314.37,0.44,0.38,2026-03-03,00:26,N20,nominal,2.0NRT,273.07,2.3,N
45.06151,20.47822,321.89,0.44,0.38,2026-03-03,00:26,N20,nominal,2.0NRT,272.08,2.45,N
38.74079,26.95266,301.84,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,276.22,1.29,N
38.74165,26.92883,303.65,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,278.19,0.6,N
38.73827,26.94576,307.91,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,280.8,1.29,N
38.738,26.92759,305.72,0.5,0.41,2026-03-03,00:26,N20,nominal,2.0NRT,278.08,0.84,N
38.42714,27.214,299.35,0.52,0.42,2026-03-03,00:26,N20,nominal,2.0NRT,274.87,0.64,N
37.25422,30.44444,298.1,0.53,0.5,2026-03-03,00:26,N20,nominal,2.0NRT,271.59,0.95,N
45.16171,21.78977,301.03,0.41,0.37,2026-03-03,00:26,N20,nominal,2.0NRT,265.11,0.69,N
45.06152,20.47982,335.48,0.44,0.38,2026-03-03,00:26,N20,nominal,2.0NRT,273.26,4.42,N
45.29206,25.10942,301.05,0.39,0.36,2026-03-03,00:26,N20,nominal,2.0NRT,271.74,0.55,N
28.92612,31.07845,301.7,0.46,0.63,2026-03-03,00:28,N20,nominal,2.0NRT,279.33,1.08,N
38.12947,23.52458,306.12,0.4,0.37,2026-03-03,00:28,N20,nominal,2.0NRT,278.1,1.28,N
37.91946,23.07272,300.08,0.39,0.36,2026-03-03,00:28,N20,nominal,2.0NRT,284.49,1.26,N
38.79503,15.20582,336.59,0.41,0.45,2026-03-03,00:28,N20,nominal,2.0NRT,279.46,7.42,N
38.7944,15.21234,329.02,0.41,0.45,2026-03-03,00:28,N20,nominal,2.0NRT,281,5.53,N
38.00042,14.83458,303.33,0.42,0.45,2026-03-03,00:28,N20,nominal,2.0NRT,276.12,0.88,N
37.2127,15.16912,300.2,0.39,0.44,2026-03-03,00:28,N20,nominal,2.0NRT,286.59,1.16,N
37.12083,15.219,295.25,0.39,0.44,2026-03-03,00:28,N20,nominal,2.0NRT,284.99,0.86,N
37.0499,14.26805,313.49,0.43,0.46,2026-03-03,00:28,N20,nominal,2.0NRT,284.31,1.68,N
36.9068,14.81511,296.36,0.41,0.45,2026-03-03,00:28,N20,nominal,2.0NRT,276.94,0.65,N
31.91906,34.8954,298.07,0.64,0.72,2026-03-03,00:28,N20,nominal,2.0NRT,278.86,1.29,N
30.70421,33.8487,324.97,0.6,0.71,2026-03-03,00:28,N20,nominal,2.0NRT,281.57,5.09,N
30.72512,33.77301,302.05,0.59,0.7,2026-03-03,00:28,N20,nominal,2.0NRT,280.61,1.86,N
31.14947,31.48682,308.75,0.43,0.62,2026-03-03,00:28,N20,nominal,2.0NRT,278.74,0.95,N
31.14551,31.48734,311.85,0.43,0.62,2026-03-03,00:28,N20,nominal,2.0NRT,278.56,1.24,N
31.35282,30.31582,301.47,0.36,0.58,2026-03-03,00:28,N20,nominal,2.0NRT,282.44,0.44,N
31.14276,29.83829,302.24,0.34,0.56,2026-03-03,00:28,N20,nominal,2.0NRT,283.97,0.78,N
31.13104,29.84205,297.13,0.34,0.56,2026-03-03,00:28,N20,nominal,2.0NRT,283.9,0.43,N
31.122,29.81276,327.55,0.34,0.56,2026-03-03,00:28,N20,nominal,2.0NRT,286.77,2.04,N
31.12285,29.80929,299.25,0.34,0.56,2026-03-03,00:28,N20,nominal,2.0NRT,284.77,1.2,N
