latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
50.10537,28.56779,301.7,1.54,1.22,2026-03-26,07:14:00,T,47,6.1NRT,286.07,8.8,D,MODIS
50.25154,36.18191,301.54,1.01,1,2026-03-26,07:14:00,T,18,6.1NRT,286.11,4.18,D,MODIS
50.25359,36.16837,334.35,1.01,1,2026-03-26,07:14:00,T,89,6.1NRT,286.93,35.28,D,MODIS
50.26226,36.1715,310.97,1.01,1,2026-03-26,07:14:00,T,71,6.1NRT,286.86,10.48,D,MODIS
50.37875,35.75665,317.21,1,1,2026-03-26,07:14:00,T,77,6.1NRT,285.74,16.41,D,MODIS
50.38074,35.74312,302.58,1,1,2026-03-26,07:14:00,T,53,6.1NRT,285.16,5.95,D,MODIS
45.39112,28.57804,381.25,1.45,1.19,2026-03-26,12:25:00,A,75,6.1NRT,295.06,270.36,D,MODIS
45.387,28.57303,327.27,1.45,1.19,2026-03-26,12:25:00,A,64,6.1NRT,293.76,42.19,D,MODIS
45.381,28.58203,334.62,1.45,1.19,2026-03-26,12:25:00,A,67,6.1NRT,291.06,57.84,D,MODIS
51.78654,34.26022,309.2,1.08,1.04,2026-03-26,12:27:00,A,68,6.1NRT,287.61,10.37,D,MODIS
51.72947,34.17611,300.38,1.07,1.03,2026-03-26,12:27:00,A,36,6.1NRT,286.21,4.74,D,MODIS
51.66267,33.87334,326.98,1.06,1.03,2026-03-26,12:27:00,A,85,6.1NRT,286.57,27.56,D,MODIS
51.65378,33.87634,303.4,1.06,1.03,2026-03-26,12:27:00,A,56,6.1NRT,286.75,6.35,D,MODIS
49.88692,24.7245,310.3,1.69,1.28,2026-03-26,12:27:00,A,69,6.1NRT,291.7,18.1,D,MODIS
51.30833,34.21543,307.05,1.07,1.03,2026-03-26,12:27:00,A,65,6.1NRT,289.37,7.62,D,MODIS
50.42528,35.52557,311.53,1.13,1.06,2026-03-26,12:27:00,A,67,6.1NRT,270.85,16.85,D,MODIS
50.42709,35.541,303.25,1.13,1.06,2026-03-26,12:27:00,A,55,6.1NRT,272.4,10.39,D,MODIS
50.26063,36.98748,312.04,1.27,1.12,2026-03-26,12:27:00,A,39,6.1NRT,273.17,12.55,D,MODIS
49.62584,33.82986,306.72,1.02,1.01,2026-03-26,12:27:00,A,50,6.1NRT,289.72,6.91,D,MODIS
49.39005,34.13737,316.74,1.03,1.01,2026-03-26,12:27:00,A,77,6.1NRT,295.15,12.2,D,MODIS
49.3919,34.15103,313.48,1.03,1.01,2026-03-26,12:27:00,A,74,6.1NRT,294.77,9.38,D,MODIS
49.00019,33.9346,306.02,1.02,1.01,2026-03-26,12:27:00,A,63,6.1NRT,290.98,4.66,D,MODIS
52.26379,32.52852,315.44,1.02,1.01,2026-03-26,12:27:00,A,76,6.1NRT,289.29,14.07,D,MODIS
52.26576,32.54282,318.78,1.02,1.01,2026-03-26,12:27:00,A,79,6.1NRT,289.42,16.79,D,MODIS
51.87975,34.27126,300.18,1.08,1.04,2026-03-26,12:27:00,A,31,6.1NRT,287.36,4.18,D,MODIS
51.84373,34.28306,321.45,1.08,1.04,2026-03-26,12:27:00,A,81,6.1NRT,287.83,21.85,D,MODIS
51.8456,34.29822,329.32,1.08,1.04,2026-03-26,12:27:00,A,86,6.1NRT,287.36,31.73,D,MODIS
51.78465,34.24511,301.83,1.08,1.04,2026-03-26,12:27:00,A,49,6.1NRT,287.04,5.29,D,MODIS
51.42637,32.42783,300.12,1.19,1.08,2026-03-26,18:24:00,T,18,6.1NRT,274.4,10.44,N,MODIS
