latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
48.20545,39.26872,317.53,1.02,1.01,2025-10-04,07:07:00,T,77,6.1NRT,292.39,14.72,D,MODIS
50.86928,30.01913,300.78,2.69,1.57,2025-10-04,07:07:00,T,41,6.1NRT,281.47,26.62,D,MODIS
50.39026,37.3939,303.32,1.19,1.09,2025-10-04,07:07:00,T,52,6.1NRT,287.9,6.63,D,MODIS
50.39201,37.37751,310.99,1.19,1.09,2025-10-04,07:07:00,T,71,6.1NRT,288.64,13.13,D,MODIS
50.40155,37.38017,308.2,1.19,1.09,2025-10-04,07:07:00,T,62,6.1NRT,288.7,10.32,D,MODIS
47.04097,36.68426,303.08,1.16,1.07,2025-10-04,07:07:00,T,43,6.1NRT,291.71,4.06,D,MODIS
48.31457,37.25624,300.35,1.14,1.07,2025-10-04,07:07:00,T,35,6.1NRT,289.4,3.95,D,MODIS
48.3162,37.06961,302.19,1.16,1.07,2025-10-04,07:07:00,T,51,6.1NRT,290.44,4.83,D,MODIS
48.54521,37.56458,319.11,1.12,1.06,2025-10-04,07:07:00,T,79,6.1NRT,291.96,18.05,D,MODIS
48.54692,37.54967,303.6,1.12,1.06,2025-10-04,07:07:00,T,56,6.1NRT,292.4,4.31,D,MODIS
48.59923,37.59326,322.09,1.12,1.06,2025-10-04,07:07:00,T,81,6.1NRT,292.63,21.92,D,MODIS
48.60098,37.5783,309.04,1.12,1.06,2025-10-04,07:07:00,T,68,6.1NRT,291.22,8.82,D,MODIS
48.46571,38.75739,303.99,1.05,1.02,2025-10-04,07:07:00,T,49,6.1NRT,290.39,5.28,D,MODIS
48.64212,37.68689,307.91,1.12,1.05,2025-10-04,07:07:00,T,58,6.1NRT,291.34,7.82,D,MODIS
48.48239,39.34662,304.15,1.02,1.01,2025-10-04,07:07:00,T,57,6.1NRT,289.24,5.26,D,MODIS
48.54481,37.18579,310.54,1.16,1.07,2025-10-04,07:07:00,T,70,6.1NRT,291.17,10.87,D,MODIS
48.48416,39.33313,309.18,1.02,1.01,2025-10-04,07:07:00,T,68,6.1NRT,290.56,8.56,D,MODIS
48.70859,37.74144,303.38,1.11,1.05,2025-10-04,07:07:00,T,56,6.1NRT,291.48,4.24,D,MODIS
48.27612,37.20978,301.85,1.15,1.07,2025-10-04,07:07:00,T,47,6.1NRT,288.8,5.4,D,MODIS
49.01861,35.28179,308.03,1.39,1.17,2025-10-04,07:07:00,T,66,6.1NRT,289.85,11.36,D,MODIS
48.66963,38.53291,305.57,1.06,1.03,2025-10-04,07:07:00,T,62,6.1NRT,290.32,6.86,D,MODIS
48.67138,38.51887,308.46,1.06,1.03,2025-10-04,07:07:00,T,67,6.1NRT,290.53,8.89,D,MODIS
48.2863,38.64616,314.06,1.05,1.02,2025-10-04,07:07:00,T,74,6.1NRT,291.15,12.34,D,MODIS
48.79438,37.87624,305.22,1.11,1.05,2025-10-04,07:07:00,T,61,6.1NRT,290.72,6.52,D,MODIS
48.81051,37.81974,305.73,1.11,1.05,2025-10-04,07:07:00,T,62,6.1NRT,290.38,7.1,D,MODIS
48.7942,38.11645,301.52,1.09,1.04,2025-10-04,07:07:00,T,47,6.1NRT,291.36,3.33,D,MODIS
48.90649,37.44963,307.22,1.14,1.07,2025-10-04,07:07:00,T,61,6.1NRT,290.35,8.13,D,MODIS
48.88674,37.70799,309.28,1.12,1.06,2025-10-04,07:07:00,T,0,6.1NRT,290.35,10.05,D,MODIS
48.88845,37.69309,316.14,1.12,1.06,2025-10-04,07:07:00,T,66,6.1NRT,291.08,16.14,D,MODIS
48.93414,37.87355,308.91,1.11,1.05,2025-10-04,07:07:00,T,68,6.1NRT,290.04,9.5,D,MODIS
48.93589,37.85879,308.55,1.11,1.05,2025-10-04,07:07:00,T,67,6.1NRT,290.93,9.22,D,MODIS
49.12743,36.89907,301.61,1.2,1.09,2025-10-04,07:07:00,T,48,6.1NRT,289.43,5.1,D,MODIS
49.0212,38.21156,306.28,1.09,1.04,2025-10-04,07:07:00,T,63,6.1NRT,290.92,7.67,D,MODIS
49.09856,37.71397,303.16,1.13,1.06,2025-10-04,07:07:00,T,48,6.1NRT,289.42,5.32,D,MODIS
49.20828,37.3868,300.34,1.16,1.07,2025-10-04,07:07:00,T,35,6.1NRT,288.98,3.82,D,MODIS
49.50713,35.11026,319.8,1.44,1.19,2025-10-04,07:07:00,T,80,6.1NRT,289.23,29.22,D,MODIS
49.50887,35.09064,317.91,1.44,1.19,2025-10-04,07:07:00,T,78,6.1NRT,289.63,26.08,D,MODIS
49.10035,39.28287,333.39,1.03,1.02,2025-10-04,07:07:00,T,88,6.1NRT,292.15,33.47,D,MODIS
49.10924,39.28544,306.98,1.03,1.02,2025-10-04,07:07:00,T,65,6.1NRT,290.92,6.55,D,MODIS
49.11103,39.27163,303.33,1.03,1.02,2025-10-04,07:07:00,T,56,6.1NRT,290.91,4.24,D,MODIS
49.45201,37.75377,314.9,1.13,1.06,2025-10-04,07:07:00,T,71,6.1NRT,290.05,14.8,D,MODIS
49.45374,37.73859,309.53,1.13,1.06,2025-10-04,07:07:00,T,65,6.1NRT,289.39,9.98,D,MODIS
49.46134,37.75614,311.94,1.13,1.06,2025-10-04,07:07:00,T,62,6.1NRT,289.28,11.49,D,MODIS
49.69693,37.63988,301.7,1.15,1.07,2025-10-04,07:07:00,T,49,6.1NRT,288,5.2,D,MODIS
49.6987,37.62427,302,1.15,1.07,2025-10-04,07:07:00,T,50,6.1NRT,287.16,5.43,D,MODIS
48.20722,39.25538,306,1.02,1.01,2025-10-04,07:07:00,T,62,6.1NRT,292.53,5.87,D,MODIS
49.70111,37.64689,307.71,1.15,1.07,2025-10-04,07:07:00,T,66,6.1NRT,288.46,9.1,D,MODIS
49.70284,37.63124,309.94,1.15,1.07,2025-10-04,07:07:00,T,69,6.1NRT,287.53,10.94,D,MODIS
48.20861,37.03694,307.15,1.16,1.07,2025-10-04,07:07:00,T,65,6.1NRT,290.06,8.02,D,MODIS
49.72836,38.08048,311.44,1.11,1.05,2025-10-04,07:07:00,T,71,6.1NRT,289.03,12.4,D,MODIS
48.20498,37.02927,301.79,1.16,1.07,2025-10-04,07:07:00,T,49,6.1NRT,289.73,4.8,D,MODIS
49.73014,38.06534,318.27,1.12,1.05,2025-10-04,07:07:00,T,78,6.1NRT,289.47,19.15,D,MODIS
49.78549,38.13373,313.25,1.11,1.05,2025-10-04,07:07:00,T,73,6.1NRT,289.01,13.3,D,MODIS
48.28805,38.6324,330.97,1.05,1.02,2025-10-04,07:07:00,T,87,6.1NRT,292.58,31.33,D,MODIS
49.87993,37.47377,300.51,1.17,1.08,2025-10-04,07:07:00,T,38,6.1NRT,289.4,4.24,D,MODIS
49.90115,37.28158,318.66,1.19,1.08,2025-10-04,07:07:00,T,79,6.1NRT,289.52,20.96,D,MODIS
48.59702,39.00229,310.63,1.09,1.04,2025-10-04,11:30:00,A,65,6.1NRT,297.75,6.91,D,MODIS
48.34833,37.32144,326.23,1.25,1.11,2025-10-04,11:30:00,A,78,6.1NRT,295.44,29.65,D,MODIS
48.34531,37.30557,307.92,1.25,1.11,2025-10-04,11:30:00,A,54,6.1NRT,295.25,7.01,D,MODIS
48.26385,36.8289,306.83,1.31,1.14,2025-10-04,11:30:00,A,52,6.1NRT,294.96,5.76,D,MODIS
48.346,37.20159,304.72,1.26,1.12,2025-10-04,11:30:00,A,33,6.1NRT,293.26,5.53,D,MODIS
48.29593,36.94046,323.76,1.3,1.13,2025-10-04,11:30:00,A,80,6.1NRT,295.32,27.79,D,MODIS
48.29273,36.92389,306.39,1.3,1.13,2025-10-04,11:30:00,A,50,6.1NRT,293.92,6.41,D,MODIS
48.67434,38.53218,305.38,1.12,1.05,2025-10-04,11:30:00,A,47,6.1NRT,295.11,4.2,D,MODIS
48.67179,38.51776,322.9,1.12,1.06,2025-10-04,11:30:00,A,80,6.1NRT,297.39,21.25,D,MODIS
48.52884,37.7286,309.87,1.2,1.09,2025-10-04,11:30:00,A,59,6.1NRT,294.15,8.75,D,MODIS
48.39134,36.89288,309.83,1.3,1.13,2025-10-04,11:30:00,A,62,6.1NRT,295.91,8.39,D,MODIS
48.52447,37.19873,312.27,1.25,1.11,2025-10-04,11:30:00,A,67,6.1NRT,295.81,11.16,D,MODIS
48.78212,38.49685,339.43,1.12,1.05,2025-10-04,11:30:00,A,91,6.1NRT,298.48,47.26,D,MODIS
48.77958,38.48245,321.26,1.12,1.05,2025-10-04,11:30:00,A,78,6.1NRT,296.58,19.23,D,MODIS
48.71467,37.95445,362.21,1.17,1.08,2025-10-04,11:30:00,A,100,6.1NRT,300.38,110.65,D,MODIS
48.71196,37.93941,321.09,1.17,1.08,2025-10-04,11:30:00,A,78,6.1NRT,298.01,18.44,D,MODIS
48.72118,37.96259,321.68,1.17,1.07,2025-10-04,11:30:00,A,79,6.1NRT,296.67,20.12,D,MODIS
48.71843,37.94765,345.57,1.17,1.08,2025-10-04,11:30:00,A,94,6.1NRT,299.52,62.95,D,MODIS
48.8191,37.81696,306.48,1.17,1.08,2025-10-04,11:30:00,A,51,6.1NRT,295.31,5.61,D,MODIS
48.84478,37.90327,321.96,1.17,1.07,2025-10-04,11:30:00,A,79,6.1NRT,297,20.66,D,MODIS
49.11309,39.27264,308,1.06,1.03,2025-10-04,11:30:00,A,59,6.1NRT,295.85,5.29,D,MODIS
48.89497,37.96277,308.28,1.16,1.07,2025-10-04,11:30:00,A,58,6.1NRT,294.8,7.08,D,MODIS
48.96737,38.31448,306.05,1.13,1.06,2025-10-04,11:30:00,A,50,6.1NRT,295.28,5.18,D,MODIS
48.96476,38.29967,306.88,1.13,1.06,2025-10-04,11:30:00,A,54,6.1NRT,295.82,5.47,D,MODIS
48.8884,37.68308,307.58,1.18,1.08,2025-10-04,11:30:00,A,36,6.1NRT,295.21,5.84,D,MODIS
48.94021,37.85759,309.05,1.17,1.07,2025-10-04,11:30:00,A,41,6.1NRT,296.64,5.93,D,MODIS
48.91248,37.7058,311.96,1.18,1.08,2025-10-04,11:30:00,A,64,6.1NRT,295.2,10.42,D,MODIS
48.95306,37.81959,317.09,1.17,1.08,2025-10-04,11:30:00,A,74,6.1NRT,295.95,14.25,D,MODIS
48.91776,37.57179,309.49,1.19,1.09,2025-10-04,11:30:00,A,62,6.1NRT,292.77,9.15,D,MODIS
48.91491,37.55622,304.48,1.2,1.09,2025-10-04,11:30:00,A,26,6.1NRT,293.87,4.79,D,MODIS
49.06712,38.19736,308.68,1.13,1.06,2025-10-04,11:30:00,A,60,6.1NRT,293.86,7.44,D,MODIS
48.91252,37.1945,316.73,1.23,1.1,2025-10-04,11:30:00,A,74,6.1NRT,292.6,15.66,D,MODIS
48.9095,37.17846,306.45,1.23,1.1,2025-10-04,11:30:00,A,50,6.1NRT,294.18,5.51,D,MODIS
48.94958,37.22994,307.01,1.23,1.1,2025-10-04,11:30:00,A,55,6.1NRT,295.75,5.95,D,MODIS
49.03447,37.55843,313.61,1.19,1.08,2025-10-04,11:30:00,A,70,6.1NRT,293.28,13.61,D,MODIS
49.03161,37.54305,322.3,1.19,1.09,2025-10-04,11:30:00,A,80,6.1NRT,294.37,23.94,D,MODIS
49.18614,38.28453,317.83,1.12,1.05,2025-10-04,11:30:00,A,75,6.1NRT,296.39,14.66,D,MODIS
49.20807,38.35381,306.13,1.11,1.05,2025-10-04,11:30:00,A,52,6.1NRT,294.58,4.77,D,MODIS
48.67977,35.28365,309.63,1.5,1.21,2025-10-04,11:30:00,A,64,6.1NRT,293.67,12.14,D,MODIS
49.24851,38.15691,341.61,1.13,1.06,2025-10-04,11:30:00,A,92,6.1NRT,295.55,51.52,D,MODIS
49.24588,38.14225,367.79,1.13,1.06,2025-10-04,11:30:00,A,100,6.1NRT,300.9,126.95,D,MODIS
49.24326,38.12757,306.89,1.13,1.06,2025-10-04,11:30:00,A,35,6.1NRT,295.93,5.2,D,MODIS
49.25754,38.15312,327.3,1.13,1.06,2025-10-04,11:30:00,A,84,6.1NRT,294.49,26.85,D,MODIS
49.25492,38.13847,359.92,1.13,1.06,2025-10-04,11:30:00,A,99,6.1NRT,297.93,99.63,D,MODIS
49.2523,38.1238,310.95,1.13,1.06,2025-10-04,11:30:00,A,66,6.1NRT,295.35,8.69,D,MODIS
49.34636,38.3825,312.98,1.11,1.05,2025-10-04,11:30:00,A,69,6.1NRT,296.78,9.32,D,MODIS
49.35533,38.37881,312.73,1.11,1.05,2025-10-04,11:30:00,A,69,6.1NRT,296.78,9.36,D,MODIS
