latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
47.71787,31.07167,309.56,1.11,1.05,2025-08-11,18:49:00,T,78,6.1NRT,290.44,11.04,N,MODIS
48.46032,38.76518,315.6,2.63,1.56,2025-08-11,18:49:00,T,92,6.1NRT,287.31,63.54,N,MODIS
48.46825,38.79337,302.56,2.64,1.56,2025-08-11,18:49:00,T,50,6.1NRT,287.27,26.87,N,MODIS
48.46667,38.75763,309.94,2.63,1.56,2025-08-11,18:49:00,T,79,6.1NRT,287.01,45.93,N,MODIS
45.37439,29.11787,322.1,1,1,2025-08-11,18:49:00,T,100,6.1NRT,294.46,19.29,N,MODIS
46.09697,32.43509,301.45,1.18,1.08,2025-08-11,18:49:00,T,41,6.1NRT,289.68,6.45,N,MODIS
46.6494,32.76853,305.32,1.24,1.11,2025-08-11,18:49:00,T,63,6.1NRT,289.77,8.64,N,MODIS
46.75614,33.63507,304.73,1.35,1.15,2025-08-11,18:49:00,T,61,6.1NRT,290.45,11.5,N,MODIS
46.75519,33.10187,302.21,1.28,1.12,2025-08-11,18:49:00,T,47,6.1NRT,290.72,7.6,N,MODIS
46.38005,29.42811,320.3,1.01,1,2025-08-11,18:49:00,T,100,6.1NRT,291.57,19.16,N,MODIS
46.3905,29.43834,311.41,1.01,1,2025-08-11,18:49:00,T,82,6.1NRT,290.9,11.13,N,MODIS
46.3888,29.42563,328.58,1.01,1,2025-08-11,18:49:00,T,100,6.1NRT,291.39,27.92,N,MODIS
47.43959,34.56029,301.54,1.53,1.22,2025-08-11,18:49:00,T,42,6.1NRT,288.98,10.67,N,MODIS
