latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
51.77201,32.28929,309.37,0.42,0.38,2025-11-26,00:17:00,N,nominal,2.0NRT,274.35,1.69,N,VIIRS
49.69422,37.68217,303.65,0.46,0.47,2025-11-26,00:20:00,N,nominal,2.0NRT,270.03,1.41,N,VIIRS
47.87751,35.19156,301.44,0.41,0.45,2025-11-26,00:20:00,N,nominal,2.0NRT,273.88,1.09,N,VIIRS
47.17151,31.75804,298.17,0.47,0.4,2025-11-26,00:20:00,N,nominal,2.0NRT,278.92,0.94,N,VIIRS
44.77299,33.86272,295.19,0.43,0.46,2025-11-26,00:20:00,N,nominal,2.0NRT,276.71,0.79,N,VIIRS
47.88,35.18107,300.23,0.41,0.45,2025-11-26,00:20:00,N,nominal,2.0NRT,273.38,0.63,N,VIIRS
48.46015,38.7699,336.98,0.55,0.51,2025-11-26,00:20:00,N,nominal,2.0NRT,276.62,18.1,N,VIIRS
50.22803,33.34634,295.02,0.47,0.4,2025-11-26,00:20:00,N,nominal,2.0NRT,270.36,0.77,N,VIIRS
48.44965,37.10254,329.62,0.43,0.38,2025-11-26,10:06:00,N,nominal,2.0NRT,279.08,5.48,D,VIIRS
