latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
48.17546,33.48895,307.52,1.01,1,2026-03-16,07:16:00,T,66,6.1NRT,281.7,10.23,D,MODIS
47.8286,34.50518,300.87,1,1,2026-03-16,07:16:00,T,42,6.1NRT,282.63,5.47,D,MODIS
49.33773,36.29844,322.22,1.03,1.01,2026-03-16,07:16:00,T,77,6.1NRT,278.28,23.66,D,MODIS
49.33561,36.31196,316.09,1.03,1.01,2026-03-16,07:16:00,T,66,6.1NRT,278.64,17.59,D,MODIS
49.57266,23.46038,311.53,3.21,1.7,2026-03-16,08:54:00,T,39,6.1NRT,285.61,55.13,D,MODIS
49.5716,23.46679,317.88,3.21,1.7,2026-03-16,08:54:00,T,78,6.1NRT,285.82,91.57,D,MODIS
49.56202,23.50059,322.21,3.23,1.7,2026-03-16,08:54:00,T,81,6.1NRT,285.98,107.06,D,MODIS
49.56077,23.50688,317.07,3.23,1.7,2026-03-16,08:54:00,T,77,6.1NRT,285.54,88.2,D,MODIS
45.06003,35.36658,331.25,1.25,1.11,2026-03-16,12:36:00,A,82,6.1NRT,285.82,43.38,D,MODIS
46.41706,32.93225,316.76,1.07,1.03,2026-03-16,12:36:00,A,77,6.1NRT,291.01,15.47,D,MODIS
46.41534,32.91881,309.25,1.07,1.03,2026-03-16,12:36:00,A,68,6.1NRT,289.66,8.98,D,MODIS
47.78829,33.27224,311.18,1.13,1.06,2026-03-16,12:36:00,A,67,6.1NRT,285.02,13.08,D,MODIS
47.748779999999996,29.48378,314.43,1.01,1,2026-03-16,12:36:00,A,75,6.1NRT,288.51,12.51,D,MODIS
47.7468,29.47096,304.6,1.01,1,2026-03-16,12:36:00,A,59,6.1NRT,289.44,5.56,D,MODIS
48.19206,28.44456,302.28,1.03,1.01,2026-03-16,12:36:00,A,49,6.1NRT,287.72,4.71,D,MODIS
47.86699,25.20846,301.94,1.31,1.13,2026-03-16,12:36:00,A,50,6.1NRT,285.89,9.58,D,MODIS
