latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
47.87088,33.43868,310.03,1.03,1.02,2026-04-29,01:39:00,A,79,6.1NRT,275.07,15.74,N,MODIS
48.60416,39.15554,303.53,1.46,1.19,2026-04-29,06:29:00,T,45,6.1NRT,286.95,7.45,D,MODIS
51.75667,26.67044,312.6,1.25,1.11,2026-04-29,08:07:00,T,69,6.1NRT,282.5,14.82,D,MODIS
46.62722,33.66224,307.04,1.18,1.08,2026-04-29,12:44:00,A,19,6.1NRT,294.48,6.38,D,MODIS
46.69674,30.41176,302.66,1,1,2026-04-29,12:44:00,A,0,6.1NRT,286.2,5.85,D,MODIS
48.45166,22.68225,311.52,1.55,1.23,2026-04-29,12:46:00,A,44,6.1NRT,291,18.06,D,MODIS
51.48789,31.49956,313.09,1.14,1.06,2026-04-29,12:46:00,A,55,6.1NRT,292.93,12.99,D,MODIS
51.8085,34.32327,309.46,1.47,1.2,2026-04-29,12:46:00,A,44,6.1NRT,286.85,17.34,D,MODIS
51.22717,34.31355,304.82,1.44,1.19,2026-04-29,12:46:00,A,57,6.1NRT,288.29,9.13,D,MODIS
49.55143,29.19839,307.93,1,1,2026-04-29,12:46:00,A,45,6.1NRT,290.44,9.12,D,MODIS
48.44024,22.6715,305.05,1.69,1.28,2026-04-29,19:15:00,T,63,6.1NRT,278.16,22.91,N,MODIS
