latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
49.76786,29.63087,305.75,0.53,0.5,2026-07-10,00:54:00,N21,nominal,2.0NRT,279.6,1.92,N,VIIRS
46.62417,31.00616,320.31,0.38,0.59,2026-07-10,00:54:00,N21,nominal,2.0NRT,274.97,2.29,N,VIIRS
48.16139,39.84492,335.7,0.49,0.65,2026-07-10,09:00:00,N21,nominal,2.0NRT,303.16,6.08,D,VIIRS
48.23871,39.87706,367,0.49,0.65,2026-07-10,09:00:00,N21,high,2.0NRT,302.3,28.89,D,VIIRS
48.23676,39.87104,353.24,0.49,0.65,2026-07-10,09:00:00,N21,nominal,2.0NRT,299.84,24.56,D,VIIRS
48.24206,39.86684,352.37,0.49,0.65,2026-07-10,09:00:00,N21,nominal,2.0NRT,302.08,27.87,D,VIIRS
48.24142,39.87108,367,0.49,0.65,2026-07-10,09:00:00,N21,high,2.0NRT,306.82,50.14,D,VIIRS
47.87194,33.38935,335.8,0.39,0.36,2026-07-10,10:41:00,N21,nominal,2.0NRT,297,5.61,D,VIIRS
48.24853,39.85407,346.73,0.42,0.45,2026-07-10,10:41:00,N21,nominal,2.0NRT,313.54,39.4,D,VIIRS
48.24807,39.84825,367,0.42,0.45,2026-07-10,10:41:00,N21,high,2.0NRT,329.37,96.5,D,VIIRS
48.24435,39.854730000000004,345.9,0.42,0.45,2026-07-10,10:41:00,N21,nominal,2.0NRT,312.63,9.18,D,VIIRS
48.24017,39.85539,340.42,0.42,0.45,2026-07-10,10:41:00,N21,nominal,2.0NRT,302.92,9.18,D,VIIRS
48.24063,39.86106,336.84,0.42,0.45,2026-07-10,10:41:00,N21,nominal,2.0NRT,304.9,9.18,D,VIIRS
48.10634,39.62412,335.83,0.41,0.45,2026-07-10,10:41:00,N21,nominal,2.0NRT,305.42,5.37,D,VIIRS
51.40333,30.22216,345.44,0.38,0.36,2026-07-10,10:41:00,N21,nominal,2.0NRT,304.93,7.83,D,VIIRS
48.67439,38.79593,340.32,0.39,0.44,2026-07-10,10:41:00,N21,nominal,2.0NRT,298.71,3.51,D,VIIRS
48.67041,38.79691,340.1,0.39,0.44,2026-07-10,10:41:00,N21,nominal,2.0NRT,298.17,3.51,D,VIIRS
47.43807,35.12057,295.29,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,284.05,0.42,N,VIIRS
47.86113,35.14425,296.63,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.1,0.93,N,VIIRS
47.8658,35.1537,296.42,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.22,1.08,N,VIIRS
47.86601,35.14925,307.05,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,287.52,1.08,N,VIIRS
47.86623,35.14474,318.67,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,286.13,2.61,N,VIIRS
47.87047,35.1631,307.08,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.62,1.01,N,VIIRS
47.87069,35.15863,295.81,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.25,1.01,N,VIIRS
47.87112,35.1497,303.98,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,284.48,1.08,N,VIIRS
47.8588,35.14146,300.49,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.5,1.83,N,VIIRS
48.45232,37.05498,295.46,0.55,0.51,2026-07-10,22:54:00,N21,nominal,2.0NRT,284.08,1.55,N,VIIRS
48.46425,38.75549,303.47,0.46,0.47,2026-07-10,22:54:00,N21,nominal,2.0NRT,287.72,1.74,N,VIIRS
47.86372,35.14657,324.77,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,286.37,2.46,N,VIIRS
48.47436,34.6304,297.68,0.36,0.57,2026-07-10,22:54:00,N21,nominal,2.0NRT,278.55,0.85,N,VIIRS
47.86824,35.16048,315.01,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,286.58,2.95,N,VIIRS
47.86843,35.15601,298.11,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.41,2.95,N,VIIRS
47.86863,35.15154,297.99,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.08,2.36,N,VIIRS
47.86883,35.14704,313.27,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,285.69,2.36,N,VIIRS
47.87374,35.15197,316.76,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,284.36,2.36,N,VIIRS
47.87354,35.15646,351.15,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,286.03,2.95,N,VIIRS
47.87885,35.15238,302.89,0.33,0.56,2026-07-10,22:54:00,N21,nominal,2.0NRT,283.79,1.88,N,VIIRS
47.87865,35.15688,321.71,0.33,0.55,2026-07-10,22:54:00,N21,nominal,2.0NRT,284.07,2.78,N,VIIRS
48.05683,37.95311,297.06,0.49,0.49,2026-07-10,22:54:00,N21,nominal,2.0NRT,286.2,1.36,N,VIIRS
48.0994,37.92652,297.78,0.5,0.49,2026-07-10,22:54:00,N21,nominal,2.0NRT,286.23,1.21,N,VIIRS
48.31116,36.93052,295.77,0.55,0.51,2026-07-10,22:54:00,N21,nominal,2.0NRT,282.9,0.53,N,VIIRS
45.73647,33.76693,296.17,0.37,0.58,2026-07-10,22:57:00,N21,nominal,2.0NRT,285.37,0.5,N,VIIRS
45.12718,34.00037,295.78,0.36,0.57,2026-07-10,22:57:00,N21,nominal,2.0NRT,285.16,0.77,N,VIIRS
44.96659,34.05083,317.57,0.36,0.57,2026-07-10,22:57:00,N21,nominal,2.0NRT,285.72,1.58,N,VIIRS
44.96701,34.0483,307.48,0.36,0.57,2026-07-10,22:57:00,N21,nominal,2.0NRT,285.24,1.31,N,VIIRS
44.96678,34.05294,298.11,0.36,0.57,2026-07-10,22:57:00,N21,nominal,2.0NRT,285.13,1.19,N,VIIRS
44.7748,33.86093,299,0.36,0.58,2026-07-10,22:57:00,N21,nominal,2.0NRT,285.01,0.56,N,VIIRS
