latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
48.53138,34.64442,309.49,0.5,0.41,2026-01-04,00:09:00,N20,nominal,2.0NRT,270.98,1.49,N,VIIRS
47.87371,33.41761,296.1,0.47,0.4,2026-01-04,00:09:00,N20,nominal,2.0NRT,272.91,0.93,N,VIIRS
47.87494,33.41155,295.39,0.47,0.4,2026-01-04,00:09:00,N20,nominal,2.0NRT,272.02,0.93,N,VIIRS
47.86879,33.44184,327.58,0.47,0.4,2026-01-04,00:09:00,N20,nominal,2.0NRT,271.79,5.06,N,VIIRS
47.87107,33.4495,302.26,0.47,0.4,2026-01-04,00:09:00,N20,nominal,2.0NRT,273.62,1.07,N,VIIRS
47.86237,35.14393,303.63,0.54,0.42,2026-01-04,00:09:00,N20,nominal,2.0NRT,273.6,2.6,N,VIIRS
47.872,35.1563,296.37,0.54,0.42,2026-01-04,00:09:00,N20,nominal,2.0NRT,271.12,1.16,N,VIIRS
47.86006,35.14239,304.45,0.54,0.42,2026-01-04,00:09:00,N20,nominal,2.0NRT,273.05,1.73,N,VIIRS
47.87337,35.15651,298.36,0.54,0.42,2026-01-04,00:09:00,N20,nominal,2.0NRT,271.52,1.5,N,VIIRS
47.87708,35.15835,309.71,0.54,0.42,2026-01-04,00:09:00,N20,nominal,2.0NRT,272.98,1.5,N,VIIRS
48.53497,34.6462,299.31,0.5,0.41,2026-01-04,00:09:00,N20,nominal,2.0NRT,273.81,1.49,N,VIIRS
48.53246,34.64554,316.56,0.5,0.41,2026-01-04,00:09:00,N20,nominal,2.0NRT,274.34,2.54,N,VIIRS
49.63075,34.30932,296.17,0.47,0.39,2026-01-04,00:09:00,N20,nominal,2.0NRT,264.92,0.82,N,VIIRS
48.95328,37.8312,296.87,0.43,0.46,2026-01-04,00:09:00,N20,nominal,2.0NRT,270.81,0.57,N,VIIRS
45.50542,29.49047,327.9,0.4,0.37,2026-01-04,00:11:00,N20,nominal,2.0NRT,269.12,14.16,N,VIIRS
45.50388,29.47928,318.59,0.4,0.37,2026-01-04,00:11:00,N20,nominal,2.0NRT,267.47,6.06,N,VIIRS
45.50212,29.48929,335.2,0.4,0.37,2026-01-04,00:11:00,N20,nominal,2.0NRT,276.01,14.16,N,VIIRS
45.503,29.48429,328.14,0.4,0.37,2026-01-04,00:11:00,N20,nominal,2.0NRT,268.78,6.06,N,VIIRS
49.48378,23.75515,343.11,0.56,0.43,2026-01-04,11:38:00,N20,nominal,2.0NRT,283.31,39.85,D,VIIRS
49.47051,23.74205,326.39,0.56,0.43,2026-01-04,11:38:00,N20,nominal,2.0NRT,274.4,2.53,D,VIIRS
