latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
48.97636,24.71385,304.62,0.48,0.48,2026-07-20,01:05:00,N21,nominal,2.0NRT,286.18,1.65,N,VIIRS
46.64638,32.57312,299.64,0.61,0.71,2026-07-20,01:05:00,N21,nominal,2.0NRT,288.28,1.65,N,VIIRS
51.07006,34.83649,304.92,0.53,0.67,2026-07-20,01:05:00,N21,nominal,2.0NRT,283.62,0.87,N,VIIRS
50.75879,35.37465,300.1,0.57,0.69,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.18,0.97,N,VIIRS
47.72875,35.88947,298.28,0.77,0.77,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.38,1.14,N,VIIRS
47.86947,35.16319,315.74,0.71,0.75,2026-07-20,01:05:00,N21,nominal,2.0NRT,289.76,2.75,N,VIIRS
47.86652,35.14972,300.68,0.71,0.75,2026-07-20,01:05:00,N21,nominal,2.0NRT,290.23,2.75,N,VIIRS
47.7159,35.4925,296.48,0.74,0.76,2026-07-20,01:05:00,N21,nominal,2.0NRT,286.04,1.04,N,VIIRS
47.29222,35.60822,300.31,0.78,0.78,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.31,2.13,N,VIIRS
47.29535,35.60587,305.19,0.78,0.78,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.24,2.74,N,VIIRS
47.86722,33.4318,299.2,0.6,0.71,2026-07-20,01:05:00,N21,nominal,2.0NRT,287.15,1.52,N,VIIRS
46.92561,35.38781,306.78,0.79,0.78,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.51,2.99,N,VIIRS
46.91934,35.38269,301.32,0.79,0.78,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.41,1.87,N,VIIRS
46.92102,35.38543,313.59,0.79,0.78,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.48,3.54,N,VIIRS
47.15132,33.9314,296.89,0.67,0.74,2026-07-20,01:05:00,N21,nominal,2.0NRT,286.38,1.32,N,VIIRS
47.14534,33.92672,301.77,0.67,0.74,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.98,0.95,N,VIIRS
46.99623,33.697,322.63,0.67,0.73,2026-07-20,01:05:00,N21,nominal,2.0NRT,288.05,21.39,N,VIIRS
46.99358,33.70442,367,0.67,0.73,2026-07-20,01:05:00,N21,high,2.0NRT,290.18,29.93,N,VIIRS
46.94274,33.80361,310.5,0.68,0.74,2026-07-20,01:05:00,N21,nominal,2.0NRT,285.76,2.48,N,VIIRS
48.74697,26.60223,301.9,0.58,0.52,2026-07-20,01:05:00,N21,nominal,2.0NRT,288.66,1.39,N,VIIRS
48.51316,27.37147,311.16,0.32,0.55,2026-07-20,01:05:00,N21,nominal,2.0NRT,286.98,0.78,N,VIIRS
46.64649,32.57672,302.34,0.61,0.71,2026-07-20,01:05:00,N21,nominal,2.0NRT,288.62,1.8,N,VIIRS
48.99467,33.66396,302.42,0.56,0.69,2026-07-20,01:07:00,N21,nominal,2.0NRT,288.74,0.81,N,VIIRS
48.37808,36.60539,297.91,0.78,0.78,2026-07-20,01:07:00,N21,nominal,2.0NRT,285.25,1.35,N,VIIRS
50.352,35.82725,295.26,0.61,0.71,2026-07-20,01:07:00,N21,nominal,2.0NRT,284.22,0.63,N,VIIRS
48.52107,34.62944,300.83,0.64,0.72,2026-07-20,01:07:00,N21,nominal,2.0NRT,288.34,1.83,N,VIIRS
48.51942,34.63214,299.84,0.64,0.72,2026-07-20,01:07:00,N21,nominal,2.0NRT,287.83,2.21,N,VIIRS
47.19109,37.84363,348.73,0.47,0.64,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.3,6.87,D,VIIRS
46.82165,36.65272,341.61,0.54,0.68,2026-07-20,09:11:00,N21,nominal,2.0NRT,301.47,9.03,D,VIIRS
47.19005,37.84067,338.5,0.47,0.64,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.28,6.39,D,VIIRS
46.82054,36.65072,339.13,0.54,0.68,2026-07-20,09:11:00,N21,nominal,2.0NRT,301.39,14.57,D,VIIRS
46.82623,36.64689,367,0.54,0.68,2026-07-20,09:11:00,N21,high,2.0NRT,304.64,14.57,D,VIIRS
47.22056,37.21873,367,0.5,0.66,2026-07-20,09:11:00,N21,high,2.0NRT,308.92,50.63,D,VIIRS
47.42691,37.86868,334.49,0.46,0.64,2026-07-20,09:11:00,N21,nominal,2.0NRT,302.88,7.81,D,VIIRS
47.21864,37.21277,337,0.5,0.66,2026-07-20,09:11:00,N21,nominal,2.0NRT,299.76,24.5,D,VIIRS
46.48046,34.97143,341.08,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,306.68,8.1,D,VIIRS
46.47777,34.96376,333.65,0.66,0.73,2026-07-20,09:11:00,N21,low,2.0NRT,303.79,8.1,D,VIIRS
47.21799,37.22032,367,0.5,0.66,2026-07-20,09:11:00,N21,high,2.0NRT,308.17,29.71,D,VIIRS
47.42738,37.86756,334.94,0.46,0.64,2026-07-20,09:11:00,N21,nominal,2.0NRT,302.48,5.44,D,VIIRS
47.21605,37.21439,337.53,0.5,0.66,2026-07-20,09:11:00,N21,nominal,2.0NRT,299.87,29.71,D,VIIRS
46.47653,34.96718,334.53,0.66,0.73,2026-07-20,09:11:00,N21,low,2.0NRT,304.8,10.88,D,VIIRS
46.4853,34.97053,340.47,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.92,10.83,D,VIIRS
47.02476,36.49212,334.81,0.54,0.68,2026-07-20,09:11:00,N21,nominal,2.0NRT,297.93,4.58,D,VIIRS
47.03046,36.48833,331.39,0.54,0.68,2026-07-20,09:11:00,N21,nominal,2.0NRT,299.54,3.34,D,VIIRS
47.24831,37.02438,332.45,0.51,0.66,2026-07-20,09:11:00,N21,low,2.0NRT,306.89,6.06,D,VIIRS
46.53157,34.90864,331.66,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.52,19.26,D,VIIRS
46.52885,34.90094,338.02,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.37,19.26,D,VIIRS
46.53761,34.90429,367,0.66,0.73,2026-07-20,09:11:00,N21,high,2.0NRT,304.92,19.26,D,VIIRS
46.5349,34.89662,351.77,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,305.78,19.26,D,VIIRS
47.05165,36.30017,336.22,0.55,0.68,2026-07-20,09:11:00,N21,nominal,2.0NRT,304.76,10.02,D,VIIRS
46.68956,35.21062,333.97,0.63,0.72,2026-07-20,09:11:00,N21,nominal,2.0NRT,304.09,5.51,D,VIIRS
46.52898,34.90759,333.42,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.79,28.36,D,VIIRS
46.53503,34.90328,367,0.66,0.73,2026-07-20,09:11:00,N21,high,2.0NRT,308.33,28.36,D,VIIRS
46.53229,34.89562,355.7,0.66,0.73,2026-07-20,09:11:00,N21,nominal,2.0NRT,303.28,44.18,D,VIIRS
46.71337,35.23672,341.39,0.63,0.72,2026-07-20,09:11:00,N21,nominal,2.0NRT,304.51,9.09,D,VIIRS
46.71938,35.23265,334.77,0.63,0.72,2026-07-20,09:11:00,N21,nominal,2.0NRT,304.72,6.21,D,VIIRS
46.31846,34.06899,331.4,0.73,0.76,2026-07-20,09:11:00,N21,low,2.0NRT,305.73,4.89,D,VIIRS
