latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
49.41058,26.94826,300.96,1.01,1,2025-09-03,01:39:00,A,36,6.1NRT,287.54,6.01,N,MODIS
48.75069,35.92699,312.95,1.96,1.37,2025-09-03,08:03:00,T,62,6.1NRT,302.1,13.34,D,MODIS
49.10531,35.53148,327,1.83,1.32,2025-09-03,08:03:00,T,81,6.1NRT,300.07,47.21,D,MODIS
49.10096,35.53593,311.28,1.83,1.32,2025-09-03,08:03:00,T,43,6.1NRT,299.78,12.43,D,MODIS
51.07039,30.91499,314.44,1.09,1.04,2025-09-03,08:03:00,T,64,6.1NRT,298.62,9.25,D,MODIS
50.69621,34.55631,310.69,1.49,1.21,2025-09-03,08:03:00,T,66,6.1NRT,292.76,15.61,D,MODIS
49.11209,35.54165,333.17,1.83,1.32,2025-09-03,08:03:00,T,86,6.1NRT,300.1,67.71,D,MODIS
51.74471,31.86753,304.33,1.13,1.06,2025-09-03,08:03:00,T,42,6.1NRT,294.03,4.11,D,MODIS
47.87834,39.4183,320.79,3.14,1.68,2025-09-03,08:03:00,T,74,6.1NRT,299.21,64.33,D,MODIS
47.87859,39.42337,320.42,3.14,1.68,2025-09-03,08:03:00,T,74,6.1NRT,299.11,60.97,D,MODIS
48.67134,29.02644,317.59,1.04,1.02,2025-09-03,08:05:00,T,61,6.1NRT,299.5,11.35,D,MODIS
48.4812,34.3115,311.47,1.66,1.27,2025-09-03,08:05:00,T,53,6.1NRT,300.82,9.15,D,MODIS
49.02729,24.41041,308.86,1.1,1.05,2025-09-03,08:05:00,T,59,6.1NRT,296.58,6.21,D,MODIS
47.90766,33.5418,329.58,3.13,1.68,2025-09-03,11:10:00,A,70,6.1NRT,304,103.54,D,MODIS
47.354730000000004,34.94405,321.37,2.76,1.59,2025-09-03,11:10:00,A,67,6.1NRT,305.38,40.92,D,MODIS
47.63744,37.27531,327.58,2.05,1.39,2025-09-03,11:10:00,A,76,6.1NRT,307.93,44.38,D,MODIS
47.74017,38.51876,322.1,1.76,1.3,2025-09-03,11:10:00,A,63,6.1NRT,309.67,17.39,D,MODIS
47.91815,33.57127,316.33,3.11,1.67,2025-09-03,11:10:00,A,58,6.1NRT,303.15,26.24,D,MODIS
47.39856,38.07041,324.1,1.9,1.35,2025-09-03,11:10:00,A,70,6.1NRT,306.86,27.03,D,MODIS
47.1986,34.22897,320.21,3.05,1.66,2025-09-03,11:10:00,A,61,6.1NRT,307.56,31.98,D,MODIS
47.40413,38.07217,327.31,1.9,1.35,2025-09-03,11:10:00,A,75,6.1NRT,307.26,35.07,D,MODIS
47.20235,37.41175,323.07,2.08,1.4,2025-09-03,11:10:00,A,68,6.1NRT,307.86,24.49,D,MODIS
48.53281,38.80809,315.1,1.62,1.25,2025-09-03,11:10:00,A,43,6.1NRT,302.11,10.83,D,MODIS
48.20114,38.00642,315.6,1.81,1.32,2025-09-03,11:10:00,A,45,6.1NRT,303.46,11.83,D,MODIS
48.20611,38.02868,317.62,1.81,1.32,2025-09-03,11:10:00,A,56,6.1NRT,304.41,15.24,D,MODIS
48.31762,37.78124,324.77,1.85,1.33,2025-09-03,11:10:00,A,75,6.1NRT,304.87,33.21,D,MODIS
48.99769,37.02322,322.54,1.92,1.35,2025-09-03,11:10:00,A,75,6.1NRT,301.59,30.97,D,MODIS
47.90787,33.53368,326.17,3.13,1.68,2025-09-03,11:10:00,A,77,6.1NRT,304.4,82.29,D,MODIS
48.45051,29.60237,316.64,4.68,1.98,2025-09-03,11:13:00,A,70,6.1NRT,303.63,75.33,D,MODIS
47.19294,35.29364,323.01,3.85,1.83,2025-09-03,12:46:00,A,65,6.1NRT,305.57,70.61,D,MODIS
46.01951,30.15161,325.02,1.92,1.35,2025-09-03,12:46:00,A,59,6.1NRT,310.03,18.78,D,MODIS
46.0141,30.14506,324.13,1.92,1.35,2025-09-03,12:46:00,A,58,6.1NRT,309.37,16.52,D,MODIS
46.32216,30.48349,322.97,2.02,1.39,2025-09-03,12:46:00,A,44,6.1NRT,309.41,15.6,D,MODIS
47.01376,34.66022,320.59,3.53,1.77,2025-09-03,12:46:00,A,53,6.1NRT,305.55,35.66,D,MODIS
47.01015,34.65178,321.8,3.53,1.77,2025-09-03,12:46:00,A,59,6.1NRT,305.59,45.5,D,MODIS
47.18379,35.30309,322.3,3.85,1.83,2025-09-03,12:46:00,A,62,6.1NRT,304.95,63.44,D,MODIS
49.86572,27.92629,310.38,1.65,1.26,2025-09-03,12:49:00,A,31,6.1NRT,299.2,10.05,D,MODIS
46.01752,30.13514,303.61,1.77,1.3,2025-09-03,19:10:00,T,49,6.1NRT,288.93,15.21,N,MODIS
46.00773,30.15943,306.29,1.78,1.31,2025-09-03,19:10:00,T,68,6.1NRT,289.2,19.89,N,MODIS
46.00602,30.13699,301.14,1.77,1.3,2025-09-03,19:10:00,T,38,6.1NRT,289.26,12.74,N,MODIS
46.01925,30.15757,313.55,1.78,1.31,2025-09-03,19:10:00,T,87,6.1NRT,288.04,31.12,N,MODIS
