latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
49.48414,34.85544,304.57,1.21,1.09,2026-07-18,01:37:00,A,61,6.1NRT,281.79,12.73,N,MODIS
50.24725,37.02262,318.22,3.25,1.7,2026-07-18,07:48:00,T,78,6.1NRT,292.93,77.77,D,MODIS
50.24845,37.01664,319.13,3.25,1.7,2026-07-18,07:48:00,T,78,6.1NRT,293.03,78.61,D,MODIS
49.83571,35.93509,303.18,2.97,1.64,2026-07-18,07:48:00,T,48,6.1NRT,292.95,19.66,D,MODIS
50.38716,30.22879,308.85,1.51,1.21,2026-07-18,07:50:00,T,60,6.1NRT,297.73,9.18,D,MODIS
46.81095,32.90295,343.38,2.62,1.55,2026-07-18,07:50:00,T,91,6.1NRT,306.39,152.86,D,MODIS
46.08916,34.01004,321.98,3.16,1.68,2026-07-18,07:50:00,T,0,6.1NRT,305.56,57.77,D,MODIS
46.82388,32.90964,326.73,2.62,1.55,2026-07-18,07:50:00,T,77,6.1NRT,308,56.37,D,MODIS
46.81729,32.91325,346.42,2.62,1.55,2026-07-18,07:50:00,T,93,6.1NRT,308.52,182.23,D,MODIS
46.82502,32.88175,333.89,2.61,1.55,2026-07-18,07:50:00,T,85,6.1NRT,307.14,99.62,D,MODIS
47.24581,32.04642,315.2,2.29,1.46,2026-07-18,07:50:00,T,59,6.1NRT,303.11,16.15,D,MODIS
49.98077,27.63822,307.59,1.21,1.09,2026-07-18,07:50:00,T,53,6.1NRT,297.25,5.96,D,MODIS
50.38306,30.24867,310.11,1.52,1.22,2026-07-18,07:50:00,T,63,6.1NRT,297.6,11.27,D,MODIS
45.54288,29.25021,326.77,1.82,1.32,2026-07-18,07:52:00,T,81,6.1NRT,304.63,29.66,D,MODIS
45.53171,29.24541,321.67,1.82,1.32,2026-07-18,07:52:00,T,75,6.1NRT,304.34,17.39,D,MODIS
46.32242,32.84826,321.63,1,1,2026-07-18,12:44:00,A,36,6.1NRT,310.79,7.12,D,MODIS
46.35322,32.85909,358.73,1,1,2026-07-18,12:44:00,A,99,6.1NRT,316.77,68.05,D,MODIS
46.3513,32.84658,341.91,1,1,2026-07-18,12:44:00,A,88,6.1NRT,317.59,30.86,D,MODIS
46.40024,32.09473,338.33,1.02,1.01,2026-07-18,12:44:00,A,85,6.1NRT,313.89,25.38,D,MODIS
46.44309,32.30741,331.89,1.01,1.01,2026-07-18,12:44:00,A,69,6.1NRT,317.13,12.94,D,MODIS
46.55383,32.95278,325.48,1,1,2026-07-18,12:44:00,A,51,6.1NRT,311.07,10.14,D,MODIS
