latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
47.86796,35.16289,300.88,0.44,0.63,2026-06-15,00:56:00,N,nominal,2.0NRT,284.59,0.8,N,VIIRS
47.86973,35.15735,301.3,0.44,0.63,2026-06-15,00:56:00,N,nominal,2.0NRT,285.91,2.1,N,VIIRS
47.87326,35.16667,300.32,0.44,0.63,2026-06-15,00:56:00,N,nominal,2.0NRT,285.59,0.8,N,VIIRS
47.87852,35.19092,309.3,0.44,0.63,2026-06-15,00:56:00,N,nominal,2.0NRT,283.99,1.46,N,VIIRS
47.8803,35.18536,308.91,0.44,0.63,2026-06-15,00:56:00,N,nominal,2.0NRT,284.51,1.46,N,VIIRS
48.47512,34.63101,301.48,0.4,0.6,2026-06-15,00:56:00,N,nominal,2.0NRT,286.13,1.14,N,VIIRS
48.4735,34.62976,301.36,0.4,0.6,2026-06-15,00:56:00,N,nominal,2.0NRT,285.56,0.79,N,VIIRS
48.52325,34.6302,307.72,0.4,0.6,2026-06-15,00:56:00,N,nominal,2.0NRT,286.33,1.13,N,VIIRS
48.53186,34.64257,314.65,0.4,0.6,2026-06-15,00:56:00,N,nominal,2.0NRT,285.63,2.71,N,VIIRS
48.53691,34.64634,332.24,0.4,0.6,2026-06-15,00:56:00,N,nominal,2.0NRT,288.23,2.71,N,VIIRS
48.4813,34.98709,297.62,0.42,0.61,2026-06-15,00:56:00,N,nominal,2.0NRT,284.54,1.25,N,VIIRS
48.479,34.98548,301.01,0.42,0.61,2026-06-15,00:56:00,N,nominal,2.0NRT,284.95,2.24,N,VIIRS
48.35438,38.42623,295.69,0.58,0.7,2026-06-15,00:56:00,N,nominal,2.0NRT,281.39,0.85,N,VIIRS
48.35539,38.42397,296.76,0.58,0.69,2026-06-15,00:56:00,N,nominal,2.0NRT,281.74,0.87,N,VIIRS
48.46805,38.75748,299.37,0.59,0.7,2026-06-15,00:56:00,N,nominal,2.0NRT,284.24,1.63,N,VIIRS
48.67995,38.51636,300.81,0.57,0.69,2026-06-15,00:56:00,N,nominal,2.0NRT,280.98,0.76,N,VIIRS
48.68224,38.51604,303.81,0.57,0.69,2026-06-15,00:56:00,N,nominal,2.0NRT,280.71,0.67,N,VIIRS
49.25721,37.53544,304.13,0.5,0.65,2026-06-15,00:56:00,N,nominal,2.0NRT,280.3,2.15,N,VIIRS
49.2551,37.5417,325.41,0.5,0.66,2026-06-15,00:56:00,N,nominal,2.0NRT,280.89,2.15,N,VIIRS
49.68951,37.60281,297.83,0.48,0.65,2026-06-15,00:56:00,N,nominal,2.0NRT,278.5,0.38,N,VIIRS
51.71169,34.01156,332.74,0.6,0.53,2026-06-15,00:56:00,N,nominal,2.0NRT,282.72,6.02,N,VIIRS
51.95183,33.60246,302.61,0.57,0.52,2026-06-15,00:56:00,N,nominal,2.0NRT,282.19,1.29,N,VIIRS
47.21382,33.86488,302.32,0.41,0.61,2026-06-15,00:56:00,N,nominal,2.0NRT,283.81,0.56,N,VIIRS
47.21748,33.87325,300.67,0.41,0.61,2026-06-15,00:56:00,N,nominal,2.0NRT,284.04,0.37,N,VIIRS
47.87252,33.38817,302.42,0.37,0.58,2026-06-15,00:56:00,N,nominal,2.0NRT,285.12,1.28,N,VIIRS
47.86053,33.44825,309.73,0.38,0.58,2026-06-15,00:56:00,N,nominal,2.0NRT,277.26,1.49,N,VIIRS
47.87826,33.40906,302.03,0.37,0.58,2026-06-15,00:56:00,N,nominal,2.0NRT,286.48,1.46,N,VIIRS
47.72176,35.54183,297.89,0.46,0.64,2026-06-15,00:56:00,N,nominal,2.0NRT,282.21,0.54,N,VIIRS
48.97652,24.71216,308.85,0.48,0.4,2026-06-15,00:58:00,N,nominal,2.0NRT,283.66,1.75,N,VIIRS
46.84409,33.13665,297.38,0.39,0.6,2026-06-15,00:58:00,N,nominal,2.0NRT,284.11,0.21,N,VIIRS
46.81148,33.56865,296.11,0.41,0.61,2026-06-15,00:58:00,N,nominal,2.0NRT,284.56,0.15,N,VIIRS
