latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,instrument
44.77481,33.8604,302.74,0.48,0.65,2025-10-02,00:50:00,N,nominal,2.0NRT,277.45,0.88,N,VIIRS
48.7864,39.14163,345.25,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,290.5,8.94,D,VIIRS
48.78884,39.14871,330.06,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,291.23,6.85,D,VIIRS
48.79132,39.15588,341.88,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,291.41,6.85,D,VIIRS
48.79383,39.16314,347.81,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,290.51,6.27,D,VIIRS
48.79633,39.17039,329.58,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,290.17,6.27,D,VIIRS
48.68518,39.5451,332.34,0.54,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,289.53,2.55,D,VIIRS
48.68744,39.54514,333.14,0.54,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,289.29,3.96,D,VIIRS
48.42498,38.95665,334.05,0.58,0.7,2025-10-02,08:56:00,N,nominal,2.0NRT,290.68,4.96,D,VIIRS
47.63578,37.16777,367,0.72,0.76,2025-10-02,08:56:00,N,high,2.0NRT,290.75,17.56,D,VIIRS
49.00431,38.37635,328.61,0.58,0.7,2025-10-02,08:56:00,N,nominal,2.0NRT,287.34,7.62,D,VIIRS
48.87502,37.89296,328.34,0.61,0.71,2025-10-02,08:56:00,N,nominal,2.0NRT,285.55,2.96,D,VIIRS
49.54946,39.4697,327.59,0.51,0.66,2025-10-02,08:56:00,N,nominal,2.0NRT,288.93,2.39,D,VIIRS
48.49178,37.97898,329.85,0.63,0.72,2025-10-02,08:56:00,N,nominal,2.0NRT,290.14,7.21,D,VIIRS
48.79953,39.15868,367,0.55,0.68,2025-10-02,08:56:00,N,high,2.0NRT,297.59,21.69,D,VIIRS
48.80202,39.16589,325.62,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,290.84,21.69,D,VIIRS
48.79706,39.15153,332.84,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,293.02,14.28,D,VIIRS
48.80032,39.13997,367,0.55,0.68,2025-10-02,08:56:00,N,high,2.0NRT,294.18,14.28,D,VIIRS
48.80777,39.1616,326.49,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,287.98,21.69,D,VIIRS
48.80527,39.15431,353.08,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,297.33,21.69,D,VIIRS
48.80278,39.14711,340.3,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,289.36,14.28,D,VIIRS
48.80109,39.1212,330.66,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,288.8,19.66,D,VIIRS
48.80678,39.11666,367,0.55,0.68,2025-10-02,08:56:00,N,high,2.0NRT,295.4,19.66,D,VIIRS
48.78838,39.15763,339.34,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,290.82,6.79,D,VIIRS
48.7891,39.13899,367,0.55,0.68,2025-10-02,08:56:00,N,high,2.0NRT,291.69,18.28,D,VIIRS
48.79915,39.16761,334.56,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,290.88,10.67,D,VIIRS
48.79663,39.16043,356.86,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,291.96,6.79,D,VIIRS
48.79412,39.15328,326.14,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,292.44,6.79,D,VIIRS
49.0883,39.33231,326.97,0.53,0.67,2025-10-02,08:56:00,N,nominal,2.0NRT,288.17,4.96,D,VIIRS
48.78663,39.13198,325.59,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,287.54,6.35,D,VIIRS
48.29626,37.77349,328.16,0.65,0.73,2025-10-02,08:56:00,N,nominal,2.0NRT,284.38,6.5,D,VIIRS
49.09067,39.33912,350.6,0.53,0.67,2025-10-02,08:56:00,N,nominal,2.0NRT,291.52,9.09,D,VIIRS
48.80486,39.1632,338.43,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,289.52,40.39,D,VIIRS
49.10244,39.37297,325.97,0.53,0.67,2025-10-02,08:56:00,N,nominal,2.0NRT,289.98,5.27,D,VIIRS
48.80235,39.156,348.32,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,307.08,38.2,D,VIIRS
48.79984,39.14888,345.2,0.55,0.68,2025-10-02,08:56:00,N,nominal,2.0NRT,292.16,38.2,D,VIIRS
49.08984,39.35727,329.83,0.53,0.67,2025-10-02,08:56:00,N,nominal,2.0NRT,290.59,4.56,D,VIIRS
