latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,instrument
46.85458,35.37675,301.18,1.85,1.33,2026-05-24,01:09:00,A,38,6.1NRT,285.88,15.63,N,MODIS
48.51622,39.30598,312.71,1.25,1.11,2026-05-24,01:09:00,A,85,6.1NRT,283.16,19.52,N,MODIS
48.51434,39.32274,324.88,1.25,1.11,2026-05-24,01:09:00,A,100,6.1NRT,283.2,35.37,N,MODIS
48.93806,38.66468,332.52,1.66,1.27,2026-05-24,06:25:00,T,86,6.1NRT,293.96,56.58,D,MODIS
48.93396,38.66515,355.47,1.01,1.01,2026-05-24,12:14:00,A,98,6.1NRT,306.75,65.07,D,MODIS
48.92525,38.66795,378.46,1.01,1.01,2026-05-24,12:14:00,A,87,6.1NRT,301.57,139.94,D,MODIS
48.93211,38.65184,362.58,1.01,1.01,2026-05-24,12:14:00,A,100,6.1NRT,308.25,83.03,D,MODIS
49.71242,36.96728,318.23,1,1,2026-05-24,12:14:00,A,74,6.1NRT,295.59,13.67,D,MODIS
48.02678,39.01452,311.91,1.01,1.01,2026-05-24,12:14:00,A,38,6.1NRT,298.33,3.17,D,MODIS
48.92341,38.65466,391.08,1.01,1.01,2026-05-24,12:14:00,A,87,6.1NRT,306.7,196.72,D,MODIS
51.14386,26.72185,306.88,2.1,1.41,2026-05-24,12:17:00,A,37,6.1NRT,291.59,9.28,D,MODIS
50.66333,33.56572,322.64,1.12,1.05,2026-05-24,12:17:00,A,36,6.1NRT,302.2,17.34,D,MODIS
